area	name	parent-statistical-geography
civil-parish-boundary:E04000076	Fenwick	E08000017
civil-parish-boundary:E04000077	Finningley	E08000017
civil-parish-boundary:E04000078	Fishlake	E08000017
civil-parish-boundary:E04000079	Hampole	E08000017
civil-parish-boundary:E04000080	Hatfield	E08000017
civil-parish-boundary:E04000081	Hickleton	E08000017
civil-parish-boundary:E04000082	High Melton	E08000017
civil-parish-boundary:E04000083	Hooton Pagnell	E08000017
civil-parish-boundary:E04000084	Kirk Bramwith	E08000017
civil-parish-boundary:E04000085	Loversall	E08000017
civil-parish-boundary:E04000086	Marr	E08000017
civil-parish-boundary:E04000087	Moss	E08000017
civil-parish-boundary:E04000088	Norton	E08000017
civil-parish-boundary:E04000089	Owston	E08000017
civil-parish-boundary:E04000090	Rossington	E08000017
civil-parish-boundary:E04000091	Sprotbrough and Cusworth	E08000017
civil-parish-boundary:E04000092	Stainforth	E08000017
civil-parish-boundary:E04000093	Stainton	E08000017
civil-parish-boundary:E04000094	Sykehouse	E08000017
civil-parish-boundary:E04000095	Thorne	E08000017
civil-parish-boundary:E04000096	Thorpe in Balne	E08000017
civil-parish-boundary:E04000097	Tickhill	E08000017
civil-parish-boundary:E04000098	Wadworth	E08000017
civil-parish-boundary:E04000099	Warmsworth	E08000017
civil-parish-boundary:E04000103	Brinsworth	E08000018
civil-parish-boundary:E04000104	Catcliffe	E08000018
civil-parish-boundary:E04000107	Firbeck	E08000018
civil-parish-boundary:E04000108	Gildingwells	E08000018
civil-parish-boundary:E04000109	Harthill with Woodall	E08000018
civil-parish-boundary:E04000110	Hooton Levitt	E08000018
civil-parish-boundary:E04000111	Hooton Roberts	E08000018
civil-parish-boundary:E04000112	Letwell	E08000018
civil-parish-boundary:E04000113	North and South Anston	E08000018
civil-parish-boundary:E04000115	Ravenfield	E08000018
civil-parish-boundary:E04000116	Thorpe Salvin	E08000018
civil-parish-boundary:E04000118	Thurcroft	E08000018
civil-parish-boundary:E04000119	Todwick	E08000018
civil-parish-boundary:E04000121	Ulley	E08000018
civil-parish-boundary:E04000122	Wales	E08000018
civil-parish-boundary:E04000124	Whiston	E08000018
civil-parish-boundary:E04000128	Maltby	E08000018
civil-parish-boundary:E04000129	Bradfield	E08000019
civil-parish-boundary:E04000130	Ecclesfield	E08000019
civil-parish-boundary:E04000131	Stocksbridge	E08000019
civil-parish-boundary:E04000132	Lamesley	E08000037
civil-parish-boundary:E04000133	Brunswick	E08000021
civil-parish-boundary:E04000134	Dinnington	E08000021
civil-parish-boundary:E04000136	North Gosforth	E08000021
civil-parish-boundary:E04000138	Blakelaw and North Fenham	E08000021
civil-parish-boundary:E04000139	Burdon	E08000024
civil-parish-boundary:E04000140	Hetton	E08000024
civil-parish-boundary:E04000141	Warden Law	E08000024
civil-parish-boundary:E04000142	New Frankley in Birmingham	E08000025
civil-parish-boundary:E04000143	Allesley	E08000026
civil-parish-boundary:E04000144	Keresley	E08000026
civil-parish-boundary:E04000146	Barston	E08000029
civil-parish-boundary:E04000147	Berkswell	E08000029
civil-parish-boundary:E04000148	Bickenhill and Marston Green	E08000029
civil-parish-boundary:E04000149	Castle Bromwich	E08000029
civil-parish-boundary:E04000150	Chelmsley Wood	E08000029
civil-parish-boundary:E04000151	Fordbridge	E08000029
civil-parish-boundary:E04000152	Hampton in Arden	E08000029
civil-parish-boundary:E04000154	Kingshurst	E08000029
civil-parish-boundary:E04000155	Meriden	E08000029
civil-parish-boundary:E04000156	Smith's Wood	E08000029
civil-parish-boundary:E04000157	Addingham	E08000032
civil-parish-boundary:E04000158	Cullingworth	E08000032
civil-parish-boundary:E04000159	Denholme	E08000032
civil-parish-boundary:E04000160	Ilkley	E08000032
civil-parish-boundary:E04000161	Oxenhope	E08000032
civil-parish-boundary:E04000162	Silsden	E08000032
civil-parish-boundary:E04000163	Steeton with Eastburn	E08000032
civil-parish-boundary:E04000164	Haworth, Cross Roads and Stanbury	E08000032
civil-parish-boundary:E04000165	Keighley	E08000032
civil-parish-boundary:E04000166	Clayton	E08000032
civil-parish-boundary:E04000167	Sandy Lane	E08000032
civil-parish-boundary:E04000168	Wilsden	E08000032
civil-parish-boundary:E04000169	Wrose	E08000032
civil-parish-boundary:E04000170	Burley	E08000032
civil-parish-boundary:E04000171	Menston	E08000032
civil-parish-boundary:E04000172	Baildon	E08000032
civil-parish-boundary:E04000173	Harden	E08000032
civil-parish-boundary:E04000174	Blackshaw	E08000033
civil-parish-boundary:E04000175	Erringden	E08000033
civil-parish-boundary:E04000176	Hebden Royd	E08000033
civil-parish-boundary:E04000177	Heptonstall	E08000033
civil-parish-boundary:E04000178	Ripponden	E08000033
civil-parish-boundary:E04000179	Todmorden	E08000033
civil-parish-boundary:E04000180	Wadsworth	E08000033
civil-parish-boundary:E04000181	Denby Dale	E08000034
civil-parish-boundary:E04000185	Mirfield	E08000034
civil-parish-boundary:E04000186	Aberford	E08000035
civil-parish-boundary:E04000187	Arthington	E08000035
civil-parish-boundary:E04000188	Austhorpe	E08000035
civil-parish-boundary:E04000190	Barwick in Elmet and Scholes	E08000035
civil-parish-boundary:E04000195	Clifford	E08000035
civil-parish-boundary:E04000196	Collingham	E08000035
civil-parish-boundary:E04000197	East Keswick	E08000035
civil-parish-boundary:E04000198	Great and Little Preston	E08000035
civil-parish-boundary:E04000199	Harewood	E08000035
civil-parish-boundary:E04000200	Ledsham	E08000035
civil-parish-boundary:E04000201	Ledston	E08000035
civil-parish-boundary:E04000202	Lotherton cum Aberford	E08000035
civil-parish-boundary:E04000203	Micklefield	E08000035
civil-parish-boundary:E04000204	Otley	E08000035
civil-parish-boundary:E04000205	Parlington	E08000035
civil-parish-boundary:E04000208	Sturton Grange	E08000035
civil-parish-boundary:E04000209	Swillington	E08000035
civil-parish-boundary:E04000210	Thorner	E08000035
civil-parish-boundary:E04000214	Wothersome	E08000035
civil-parish-boundary:E04000216	Allerton Bywater	E08000035
civil-parish-boundary:E04000218	Shadwell	E08000035
civil-parish-boundary:E04000219	Kippax	E08000035
civil-parish-boundary:E04000220	Drighlington	E08000035
civil-parish-boundary:E04000221	Gildersome	E08000035
civil-parish-boundary:E04000222	Alwoodley	E08000035
civil-parish-boundary:E04000223	Ackworth	E08000036
civil-parish-boundary:E04000224	Badsworth	E08000036
civil-parish-boundary:E04000225	Chevet	E08000036
civil-parish-boundary:E04000226	Crigglestone	E08000036
civil-parish-boundary:E04000227	Crofton	E08000036
civil-parish-boundary:E04000228	Darrington	E08000036
civil-parish-boundary:E04000229	East Hardwick	E08000036
civil-parish-boundary:E04000230	Featherstone	E08000036
civil-parish-boundary:E04000231	Havercroft with Cold Hiendley	E08000036
civil-parish-boundary:E04000232	Hemsworth	E08000036
civil-parish-boundary:E04000233	Hessle and Hill Top	E08000036
civil-parish-boundary:E04000234	Huntwick with Foulby and Nostell	E08000036
civil-parish-boundary:E04000235	Newland with Woodhouse Moor	E08000036
civil-parish-boundary:E04000236	Normanton	E08000036
civil-parish-boundary:E04000237	North Elmsall	E08000036
civil-parish-boundary:E04000238	Notton	E08000036
civil-parish-boundary:E04000239	Ryhill	E08000036
civil-parish-boundary:E04000240	Sharlston	E08000036
civil-parish-boundary:E04000241	Sitlington	E08000036
civil-parish-boundary:E04000242	South Elmsall	E08000036
civil-parish-boundary:E04000243	South Hiendley	E08000036
civil-parish-boundary:E04000244	South Kirkby and Moorthorpe	E08000036
civil-parish-boundary:E04000245	Thorpe Audlin	E08000036
civil-parish-boundary:E04000246	Upton	E08000036
civil-parish-boundary:E04000247	Walton	E08000036
civil-parish-boundary:E04000248	Warmfield cum Heath	E08000036
civil-parish-boundary:E04000249	West Bretton	E08000036
civil-parish-boundary:E04000250	West Hardwick	E08000036
civil-parish-boundary:E04000251	Wintersett	E08000036
civil-parish-boundary:E04000252	Woolley	E08000036
civil-parish-boundary:E04000253	Brierton	E06000001
civil-parish-boundary:E04000254	Claxton	E06000001
civil-parish-boundary:E04000255	Dalton Piercy	E06000001
civil-parish-boundary:E04000256	Elwick	E06000001
civil-parish-boundary:E04000257	Greatham	E06000001
civil-parish-boundary:E04000258	Hart	E06000001
civil-parish-boundary:E04000259	Newton Bewley	E06000001
civil-parish-boundary:E04000260	Headland	E06000001
civil-parish-boundary:E04000261	Nunthorpe	E06000002
civil-parish-boundary:E04000262	Stainton and Thornton	E06000002
civil-parish-boundary:E04000263	Guisborough	E06000003
civil-parish-boundary:E04000264	Lockwood	E06000003
civil-parish-boundary:E04000265	Loftus	E06000003
civil-parish-boundary:E04000266	Saltburn, Marske and New Marske	E06000003
civil-parish-boundary:E04000267	Skelton and Brotton	E06000003
civil-parish-boundary:E04000268	Aislaby	E06000004
civil-parish-boundary:E04000269	Carlton	E06000004
civil-parish-boundary:E04000272	Elton	E06000004
civil-parish-boundary:E04000273	Grindon	E06000004
civil-parish-boundary:E04000275	Ingleby Barwick	E06000004
civil-parish-boundary:E04000277	Longnewton	E06000004
civil-parish-boundary:E04000279	Newsham	E06000004
civil-parish-boundary:E04000283	Thornaby	E06000004
civil-parish-boundary:E04000284	Wolviston	E06000004
civil-parish-boundary:E04000286	Billingham	E06000004
civil-parish-boundary:E04000288	Barmpton	E06000005
civil-parish-boundary:E04000289	Bishopton	E06000005
civil-parish-boundary:E04000290	Brafferton	E06000005
civil-parish-boundary:E04000291	Coatham Mundeville	E06000005
civil-parish-boundary:E04000292	Denton	E06000005
civil-parish-boundary:E04000293	East and West Newbiggin	E06000005
civil-parish-boundary:E04000294	Great Burdon	E06000005
civil-parish-boundary:E04000295	Great Stainton	E06000005
civil-parish-boundary:E04000296	Heighington	E06000005
civil-parish-boundary:E04000297	High Coniscliffe	E06000005
civil-parish-boundary:E04000298	Houghton le Side	E06000005
civil-parish-boundary:E04000300	Killerby	E06000005
civil-parish-boundary:E04000301	Little Stainton	E06000005
civil-parish-boundary:E04000302	Low Coniscliffe and Merrybent	E06000005
civil-parish-boundary:E04000305	Morton Palms	E06000005
civil-parish-boundary:E04000307	Piercebridge	E06000005
civil-parish-boundary:E04000308	Sadberge	E06000005
civil-parish-boundary:E04000310	Summerhouse	E06000005
civil-parish-boundary:E04000311	Walworth	E06000005
civil-parish-boundary:E04000312	Whessoe	E06000005
civil-parish-boundary:E04000313	Daresbury	E06000006
civil-parish-boundary:E04000314	Hale	E06000006
civil-parish-boundary:E04000315	Moore	E06000006
civil-parish-boundary:E04000316	Preston Brook	E06000006
civil-parish-boundary:E04000317	Halebank	E06000006
civil-parish-boundary:E04000318	Sandymoor	E06000006
civil-parish-boundary:E04000319	Appleton	E06000007
civil-parish-boundary:E04000320	Birchwood	E06000007
civil-parish-boundary:E04000321	Burtonwood and Westbrook	E06000007
civil-parish-boundary:E04000322	Croft	E06000007
civil-parish-boundary:E04000323	Cuerdley	E06000007
civil-parish-boundary:E04000324	Culcheth and Glazebury	E06000007
civil-parish-boundary:E04000325	Grappenhall and Thelwall	E06000007
civil-parish-boundary:E04000326	Great Sankey	E06000007
civil-parish-boundary:E04000327	Hatton	E06000007
civil-parish-boundary:E04000328	Lymm	E06000007
civil-parish-boundary:E04000329	Penketh	E06000007
civil-parish-boundary:E04000330	Poulton-with-Fearnhead	E06000007
civil-parish-boundary:E04000331	Rixton-with-Glazebrook	E06000007
civil-parish-boundary:E04000332	Stockton Heath	E06000007
civil-parish-boundary:E04000333	Stretton	E06000007
civil-parish-boundary:E04000334	Walton	E06000007
civil-parish-boundary:E04000335	Winwick	E06000007
civil-parish-boundary:E04000336	Woolston	E06000007
civil-parish-boundary:E04000337	Eccleshill	E06000008
civil-parish-boundary:E04000338	Livesey	E06000008
civil-parish-boundary:E04000339	North Turton	E06000008
civil-parish-boundary:E04000340	Pleasington	E06000008
civil-parish-boundary:E04000341	Tockholes	E06000008
civil-parish-boundary:E04000342	Yate and Pickup Bank	E06000008
civil-parish-boundary:E04000343	Airmyn	E06000011
civil-parish-boundary:E04000344	Aldbrough	E06000011
civil-parish-boundary:E04000345	Allerthorpe	E06000011
civil-parish-boundary:E04000346	Asselby	E06000011
civil-parish-boundary:E04000347	Atwick	E06000011
civil-parish-boundary:E04000348	Bainton	E06000011
civil-parish-boundary:E04000349	Barmby Moor	E06000011
civil-parish-boundary:E04000350	Barmby on the Marsh	E06000011
civil-parish-boundary:E04000351	Barmston	E06000011
civil-parish-boundary:E04000352	Beeford	E06000011
civil-parish-boundary:E04000353	Bielby	E06000011
civil-parish-boundary:E04000354	Bempton	E06000011
civil-parish-boundary:E04000355	Beswick	E06000011
civil-parish-boundary:E04000356	Bewholme	E06000011
civil-parish-boundary:E04000357	Bilton	E06000011
civil-parish-boundary:E04000358	Bishop Burton	E06000011
civil-parish-boundary:E04000359	Bishop Wilton	E06000011
civil-parish-boundary:E04000360	Blacktoft	E06000011
civil-parish-boundary:E04000361	Boynton	E06000011
civil-parish-boundary:E04000362	Brandesburton	E06000011
civil-parish-boundary:E04000363	Brantingham	E06000011
civil-parish-boundary:E04000364	Broomfleet	E06000011
civil-parish-boundary:E04000365	Bubwith	E06000011
civil-parish-boundary:E04000366	Bugthorpe	E06000011
civil-parish-boundary:E04000367	Burstwick	E06000011
civil-parish-boundary:E04000368	Burton Agnes	E06000011
civil-parish-boundary:E04000369	Burton Constable	E06000011
civil-parish-boundary:E04000370	Burton Fleming	E06000011
civil-parish-boundary:E04000371	Burton Pidsea	E06000011
civil-parish-boundary:E04000372	Carnaby	E06000011
civil-parish-boundary:E04000373	Catton	E06000011
civil-parish-boundary:E04000374	Catwick	E06000011
civil-parish-boundary:E04000375	Cherry Burton	E06000011
civil-parish-boundary:E04000376	Coniston	E06000011
civil-parish-boundary:E04000377	Cottam	E06000011
civil-parish-boundary:E04000378	Cottingwith	E06000011
civil-parish-boundary:E04000379	Dalton Holme	E06000011
civil-parish-boundary:E04000380	Driffield	E06000011
civil-parish-boundary:E04000381	Easington	E06000011
civil-parish-boundary:E04000382	East Garton	E06000011
civil-parish-boundary:E04000383	Eastrington	E06000011
civil-parish-boundary:E04000384	Ellerby	E06000011
civil-parish-boundary:E04000385	Ellerker	E06000011
civil-parish-boundary:E04000386	Ellerton	E06000011
civil-parish-boundary:E04000387	Elloughton-cum-Brough	E06000011
civil-parish-boundary:E04000388	Elstronwick	E06000011
civil-parish-boundary:E04000389	Etton	E06000011
civil-parish-boundary:E04000390	Everingham	E06000011
civil-parish-boundary:E04000391	Fangfoss	E06000011
civil-parish-boundary:E04000392	Fimber	E06000011
civil-parish-boundary:E04000393	Flamborough	E06000011
civil-parish-boundary:E04000394	Foggathorpe	E06000011
civil-parish-boundary:E04000395	Foston	E06000011
civil-parish-boundary:E04000396	Fridaythorpe	E06000011
civil-parish-boundary:E04000397	Full Sutton	E06000011
civil-parish-boundary:E04000398	Garton	E06000011
civil-parish-boundary:E04000399	Gilberdyke	E06000011
civil-parish-boundary:E04000400	Goodmanham	E06000011
civil-parish-boundary:E04000401	Goole	E06000011
civil-parish-boundary:E04000402	Goole Fields	E06000011
civil-parish-boundary:E04000403	Gowdall	E06000011
civil-parish-boundary:E04000404	Grindale	E06000011
civil-parish-boundary:E04000405	Halsham	E06000011
civil-parish-boundary:E04000406	Harpham	E06000011
civil-parish-boundary:E04000407	Hatfield	E06000011
civil-parish-boundary:E04000408	Hayton	E06000011
civil-parish-boundary:E04000409	Hedon	E06000011
civil-parish-boundary:E04000410	Hessle	E06000011
civil-parish-boundary:E04000411	Hollym	E06000011
civil-parish-boundary:E04000412	Holme upon Spalding Moor	E06000011
civil-parish-boundary:E04000413	Holmpton	E06000011
civil-parish-boundary:E04000414	Hook	E06000011
civil-parish-boundary:E04000415	Hornsea	E06000011
civil-parish-boundary:E04000416	Hotham	E06000011
civil-parish-boundary:E04000417	Howden	E06000011
civil-parish-boundary:E04000418	Huggate	E06000011
civil-parish-boundary:E04000419	Humbleton	E06000011
civil-parish-boundary:E04000420	Hutton Cranswick	E06000011
civil-parish-boundary:E04000421	Kelk	E06000011
civil-parish-boundary:E04000422	Keyingham	E06000011
civil-parish-boundary:E04000423	Kilham	E06000011
civil-parish-boundary:E04000424	Kilpin	E06000011
civil-parish-boundary:E04000425	Kirby Underdale	E06000011
civil-parish-boundary:E04000426	Kirkburn	E06000011
civil-parish-boundary:E04000427	Langtoft	E06000011
civil-parish-boundary:E04000428	Laxton	E06000011
civil-parish-boundary:E04000429	Leconfield	E06000011
civil-parish-boundary:E04000430	Leven	E06000011
civil-parish-boundary:E04000431	Lockington	E06000011
civil-parish-boundary:E04000432	Londesborough	E06000011
civil-parish-boundary:E04000433	Lund	E06000011
civil-parish-boundary:E04000434	Mappleton	E06000011
civil-parish-boundary:E04000435	Market Weighton	E06000011
civil-parish-boundary:E04000436	Melbourne	E06000011
civil-parish-boundary:E04000437	Middleton	E06000011
civil-parish-boundary:E04000438	Millington	E06000011
civil-parish-boundary:E04000439	Molescroft	E06000011
civil-parish-boundary:E04000440	Nafferton	E06000011
civil-parish-boundary:E04000441	Newbald	E06000011
civil-parish-boundary:E04000442	Newport	E06000011
civil-parish-boundary:E04000443	Newton on Derwent	E06000011
civil-parish-boundary:E04000444	North Cave	E06000011
civil-parish-boundary:E04000445	North Dalton	E06000011
civil-parish-boundary:E04000446	North Ferriby	E06000011
civil-parish-boundary:E04000447	North Frodingham	E06000011
civil-parish-boundary:E04000448	Nunburnholme	E06000011
civil-parish-boundary:E04000449	Ottringham	E06000011
civil-parish-boundary:E04000450	Patrington	E06000011
civil-parish-boundary:E04000451	Paull	E06000011
civil-parish-boundary:E04000452	Pocklington	E06000011
civil-parish-boundary:E04000453	Pollington	E06000011
civil-parish-boundary:E04000454	Preston	E06000011
civil-parish-boundary:E04000455	Rawcliffe	E06000011
civil-parish-boundary:E04000456	Reedness	E06000011
civil-parish-boundary:E04000457	Rimswell	E06000011
civil-parish-boundary:E04000458	Rise	E06000011
civil-parish-boundary:E04000459	Riston	E06000011
civil-parish-boundary:E04000460	Roos	E06000011
civil-parish-boundary:E04000461	Routh	E06000011
civil-parish-boundary:E04000462	Rowley	E06000011
civil-parish-boundary:E04000463	Rudston	E06000011
civil-parish-boundary:E04000464	Sancton	E06000011
civil-parish-boundary:E04000465	Seaton	E06000011
civil-parish-boundary:E04000466	Seaton Ross	E06000011
civil-parish-boundary:E04000467	Shipton Thorpe	E06000011
civil-parish-boundary:E04000468	Sigglesthorne	E06000011
civil-parish-boundary:E04000469	Skeffling	E06000011
civil-parish-boundary:E04000470	Skerne and Wansford	E06000011
civil-parish-boundary:E04000471	Skidby	E06000011
civil-parish-boundary:E04000472	Skipsea	E06000011
civil-parish-boundary:E04000473	Skirlaugh	E06000011
civil-parish-boundary:E04000474	Skirpenbeck	E06000011
civil-parish-boundary:E04000475	Sledmere	E06000011
civil-parish-boundary:E04000476	Snaith and Cowick	E06000011
civil-parish-boundary:E04000477	South Cave	E06000011
civil-parish-boundary:E04000478	South Cliffe	E06000011
civil-parish-boundary:E04000479	Spaldington	E06000011
civil-parish-boundary:E04000480	Sproatley	E06000011
civil-parish-boundary:E04000481	Stamford Bridge	E06000011
civil-parish-boundary:E04000482	Sunk Island	E06000011
civil-parish-boundary:E04000483	Sutton upon Derwent	E06000011
civil-parish-boundary:E04000484	Swanland	E06000011
civil-parish-boundary:E04000485	Swine	E06000011
civil-parish-boundary:E04000486	Swinefleet	E06000011
civil-parish-boundary:E04000487	Thorngumbald	E06000011
civil-parish-boundary:E04000488	Thornton	E06000011
civil-parish-boundary:E04000489	Thwing	E06000011
civil-parish-boundary:E04000490	Tibthorpe	E06000011
civil-parish-boundary:E04000491	Tickton	E06000011
civil-parish-boundary:E04000492	Twin Rivers	E06000011
civil-parish-boundary:E04000493	Ulrome	E06000011
civil-parish-boundary:E04000494	Walkington	E06000011
civil-parish-boundary:E04000495	Warter	E06000011
civil-parish-boundary:E04000496	Watton	E06000011
civil-parish-boundary:E04000497	Wawne	E06000011
civil-parish-boundary:E04000498	Welton	E06000011
civil-parish-boundary:E04000499	Welwick	E06000011
civil-parish-boundary:E04000500	Wetwang	E06000011
civil-parish-boundary:E04000501	Wilberfoss	E06000011
civil-parish-boundary:E04000502	Withernsea	E06000011
civil-parish-boundary:E04000503	Withernwick	E06000011
civil-parish-boundary:E04000504	Wold Newton	E06000011
civil-parish-boundary:E04000505	Woodmansey	E06000011
civil-parish-boundary:E04000506	Wressle	E06000011
civil-parish-boundary:E04000507	Yapham	E06000011
civil-parish-boundary:E04000508	Beverley	E06000011
civil-parish-boundary:E04000509	Cottingham	E06000011
civil-parish-boundary:E04000510	Anlaby with Anlaby Common	E06000011
civil-parish-boundary:E04000511	Bridlington	E06000011
civil-parish-boundary:E04000512	Kirk Ella	E06000011
civil-parish-boundary:E04000513	Willerby	E06000011
civil-parish-boundary:E04000514	Ashby cum Fenby	E06000012
civil-parish-boundary:E04000515	Aylesby	E06000012
civil-parish-boundary:E04000516	Barnoldby le Beck	E06000012
civil-parish-boundary:E04000517	Beelsby	E06000012
civil-parish-boundary:E04000518	Bradley	E06000012
civil-parish-boundary:E04000519	Brigsley	E06000012
civil-parish-boundary:E04000520	East Ravendale	E06000012
civil-parish-boundary:E04000521	Habrough	E06000012
civil-parish-boundary:E04000522	Hatcliffe	E06000012
civil-parish-boundary:E04000523	Hawerby cum Beesby	E06000012
civil-parish-boundary:E04000524	Healing	E06000012
civil-parish-boundary:E04000525	Humberston	E06000012
civil-parish-boundary:E04000526	Immingham	E06000012
civil-parish-boundary:E04000527	Irby	E06000012
civil-parish-boundary:E04000528	Laceby	E06000012
civil-parish-boundary:E04000529	New Waltham	E06000012
civil-parish-boundary:E04000530	Stallingborough	E06000012
civil-parish-boundary:E04000531	Waltham	E06000012
civil-parish-boundary:E04000532	West Ravendale	E06000012
civil-parish-boundary:E04000533	Wold Newton	E06000012
civil-parish-boundary:E04000534	Great Coates	E06000012
civil-parish-boundary:E04000535	Alkborough	E06000013
civil-parish-boundary:E04000536	Amcotts	E06000013
civil-parish-boundary:E04000537	Appleby	E06000013
civil-parish-boundary:E04000538	Barnetby le Wold	E06000013
civil-parish-boundary:E04000539	Barrow upon Humber	E06000013
civil-parish-boundary:E04000540	Barton-upon-Humber	E06000013
civil-parish-boundary:E04000541	Belton	E06000013
civil-parish-boundary:E04000542	Bonby	E06000013
civil-parish-boundary:E04000543	Bottesford	E06000013
civil-parish-boundary:E04000544	Brigg	E06000013
civil-parish-boundary:E04000545	Broughton	E06000013
civil-parish-boundary:E04000546	Burringham	E06000013
civil-parish-boundary:E04000547	Burton upon Stather	E06000013
civil-parish-boundary:E04000548	Cadney	E06000013
civil-parish-boundary:E04000549	Crowle and Ealand	E06000013
civil-parish-boundary:E04000550	Croxton	E06000013
civil-parish-boundary:E04000551	East Butterwick	E06000013
civil-parish-boundary:E04000552	East Halton	E06000013
civil-parish-boundary:E04000553	Eastoft	E06000013
civil-parish-boundary:E04000554	Elsham	E06000013
civil-parish-boundary:E04000555	Epworth	E06000013
civil-parish-boundary:E04000556	Flixborough	E06000013
civil-parish-boundary:E04000557	Garthorpe and Fockerby	E06000013
civil-parish-boundary:E04000558	Goxhill	E06000013
civil-parish-boundary:E04000559	Gunness	E06000013
civil-parish-boundary:E04000560	Haxey	E06000013
civil-parish-boundary:E04000561	Hibaldstow	E06000013
civil-parish-boundary:E04000562	Holme	E06000013
civil-parish-boundary:E04000563	Horkstow	E06000013
civil-parish-boundary:E04000564	Keadby with Althorpe	E06000013
civil-parish-boundary:E04000565	Kirmington	E06000013
civil-parish-boundary:E04000566	Kirton in Lindsey	E06000013
civil-parish-boundary:E04000567	Luddington and Haldenby	E06000013
civil-parish-boundary:E04000568	Manton	E06000013
civil-parish-boundary:E04000569	Melton Ross	E06000013
civil-parish-boundary:E04000570	Messingham	E06000013
civil-parish-boundary:E04000571	New Holland	E06000013
civil-parish-boundary:E04000572	North Killingholme	E06000013
civil-parish-boundary:E04000573	Owston Ferry	E06000013
civil-parish-boundary:E04000574	Redbourne	E06000013
civil-parish-boundary:E04000575	Roxby cum Risby	E06000013
civil-parish-boundary:E04000576	Saxby All Saints	E06000013
