OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01692/FUL,,24 Duke Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570680,207001,0.38,not owned by a public authority,yes,permissioned,full planning permission,2018-05-18,,,84,"Demolition of all existing buildings and the erection of a mixed use development comprising 84 residential units, 1no. A1 unit and 5no. flexible commercial units (A1/A2/A3/B1/D1), together with parking, public realm and footpath improvements.",flexible commercial units (735 sqm) (A1/A2/A3/B1/D1),,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,12/00833/FUL,,Royal Mail Sorting Office 30 Victoria Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571034,207180,1.26,unknown ownership,yes,permissioned,full planning permission,2013-04-08,,,37,"Demolition of existing buildings on site and the construction of a mixed use development comprising a new Class A1 foodstore (2,224sq m net), 37 Class C3 residential units, 630sqm of flexible Class A1-A5/B1/D1 commercial floorspace, Class D2 community centre and associated access, car parking, highway improvements and landscape works.","new Class A1 foodstore (2,224sq m net) 630sqm of flexible Class A1-A5/B1/D1 commercial floorspace, Class D2 community centre",,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01462/FUL,,Ambulance Station Coval Lane Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570156,206880,0.39,not owned by a public authority,yes,permissioned,full planning permission,2017-03-02,,,30,"Demolition of existing ambulance station and associated outbuildings and redevelopment to provide 30 residential units with associated parking, landscaping and amenity space.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01630/FUL,,Peninsula Site Chelmer Waterside Development Wharf Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571628,206292,3.92,not owned by a public authority,yes,permissioned,full planning permission,2017-03-15,,,421,"Construction of 421 residential units and non-residential floorspace (use classes A1/A3/A4) and conversion and change of use of an existing structure for flexible non-residential use (use classes A1, A2, A3, A4, A5, B1, B2 and/or D1) with associated access, hard and soft landscaping, open space, car and cycle parking, and including site clearance and demolition of existing walls and structures.","Construction of non-residential floorspace (use classes A1/A3/A4) and conversion and change of use of an existing structure for flexible non-residential use (use classes A1, A2, A3, A4, A5, B1, B2 and/or D1) (707 sqm)",,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01657/OUT,,Morelands Industrial Estate Tileworks Lane Rettendon,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,575433,198261,5.80,unknown ownership,yes,permissioned,outline planning permission,2015-05-26,,,24,"Outline Planning Application for the demolition of existing buildings and earth bund and redevelopment for 24no. residential dwellings (C3 use), new Paddock and Public Open Space with associated access, landscaping and infrastructure.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01012/OUT,,Land north of Galleywood Reservoir Beehive Lane Galleywood,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570557,203053,0.65,not owned by a public authority,yes,pending descision,,,,,13,"Outline planning application for 13 dwellings on land off Pyms Road, Galleywood, with all matters reserved except for access.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00142/FUL,,Burrows Electrical Wholesalers Railway Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570414,207170,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-06-28,,,14,"Demolition of existing commercial premises and redevelopment to provide 3No Ground Floor Commercial Units and 14No Two bedroom Apartments on First, Second & Third Floors above. Flexible Commercial space to have A1, A2, A3, A4, and B1 Uses. With Associated Refuse & Recycling Collection, Cycle Stores and Vehicle Parking.","3No Ground Floor Commercial Units. Flexible Commercial space (165 sqm) to have A1, A2, A3, A4, and B1 Uses",,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01145/FUL,,47 Broomfield Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570317,207315,0.11,not owned by a public authority,yes,permissioned,full planning permission,2016-09-30,,,14,"Demolition of existing office building and construction of new building comprising 14no. two bedroom flats, together with associated parking and amenity space.",,,,,,,Site stalled,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01360/FUL,,Site rear of 30-34 Broomfield Road,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570415,207239,0.02,mixed ownership,yes,permissioned,full planning permission,2014-11-17,,,20,"Demolition of existing office building r/o 30-32 Broomfield Road, conversion of existing office building r/o 34 Broomfield Road and extensions/ alterations to create one new residential building comprising 20 flats, external alterations, creation of refuse & cycle stores, provision of turning head and parking space.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00625/FUL,,Moulsham Lodge Community Centre Waltham Glen Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571235,205408,0.50,owned by a public authority,yes,permissioned,full planning permission,2017-09-23,,,26,"Redevelopment of the former Community Centre site for 26 residential units, parking, associated vehicle access and hard and soft landscaping.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/00838/FUL,,Garages rear of 24 Cherry Garden Road Great Waltham,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,569387,213242,0.46,owned by a public authority,yes,permissioned,full planning permission,2015-11-11,,,10,"Demolition of existing garages and car standing areas. Construction of 10 No. new dwellings with associated parking, landscaping and access road.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01855/FUL,,The Lordship Stud Writtle College Back Road Writtle,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,567177,206409,1.64,not owned by a public authority,yes,permissioned,full planning permission,2016-08-16,,,17,"Demolition of existing buildings and the erection of 17 no. new dwellings and associated development including landscaped public realm, car parking, and new vehicular and pedestrian accesses from Back Road.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01563/FUL,,Workshop Main Road Woodham Ferrers Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,579868,199001,0.10,not owned by a public authority,yes,permissioned,full planning permission,2016-10-25,,,2,Demolition of existing buildings and construction of two dwellings with detached garages.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00240/FUL,,Boreham Village Store Main Road Boreham,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,575314,210039,0.16,not owned by a public authority,yes,permissioned,full planning permission,2017-05-05,,,5,"Demolition of rear storage building.  Construction of rear extension to store and to create a cafe and addition of a first floor to create 5 two bed flats. Proposed bicycle store, bin store and associated parking.",Construction of rear extension to store to create a café (134 sqm),,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01989/FUL,,Haven Orchard Goat Hall Lane Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,569706,202926,0.49,not owned by a public authority,yes,permissioned,full planning permission,2016-07-15,,,3,"Demolition of existing buildings and the construction of 3 new dwellings and associated development including high quality landscaped public realm, car parking, and new vehicular accesses from Goat Hall Lane.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/01118/FUL,,Site at 71 to 73 Wood Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570049,205067,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-08-10,,,1,To construct one bedroom self contained maisonette abutting existing building.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01482/FUL,,Land Rear of 43-43A Broomfield Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570345,207286,0.01,not owned by a public authority,yes,permissioned,full planning permission,2016-11-10,,,4,Proposed four storey apartment building to serve four new 1 and 2 bed apartments.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01232/FUL,,St Marks Centre Cottage Place Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570755,207025,0.04,not owned by a public authority,yes,permissioned,full planning permission,2015-09-14,,,8,"Demolition of existing building and development of five 1-bed apartments, one 2-bed apartment, one 2-bed maisonette and one 3-bed maisonette with associated parking.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/02157/FUL,,Site rear of 139 to 141 Springfield Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571410,206999,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-02-01,,,1,Extension to create one new dwelling.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01094/FUL,,Land Adjacent 44 Mildmay Road Chelmsford Essex,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570962,206232,0.01,not owned by a public authority,yes,permissioned,full planning permission,2015-09-30,,,1,"Demolition of former lock-up garages and construction of three storey, 3-bed dwelling",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,12/00917/FUL,,Land South East of Riverbank Court Shrublands Close Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571250,206918,0.08,not owned by a public authority,yes,permissioned,full planning permission,2012-07-25,,,3,"Construction of three, one bed apartments",,,,,,,Site stalled,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/00774/FUL,,32-33 New Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570885,207165,0.02,not owned by a public authority,yes,permissioned,full planning permission,2015-08-23,,,2,Two storey side and rear extension and formation of two flats at first floor level,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00207/FUL,,Roadstar Tyre and Exhaust Centre New Writtle Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570714,206334,0.06,mixed ownership,yes,permissioned,full planning permission,2017-06-16,,,5,Demolition and clearance of existing car mechanic site and redevelopment with 5 no. dwellings. New crossover.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01231/FUL,,22A Duke Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570720,206997,0.02,not owned by a public authority,yes,permissioned,full planning permission,2015-11-03,,,5,Demolition of existing vacant 2 storey building and redevelopment of site with a 3 storey building comprising 5no. residential units with associated refuse and cycle parking.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01038/FUL,,185 New London Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570389,206088,0.18,not owned by a public authority,yes,permissioned,full planning permission,2015-12-07,,,5,Demolition of existing Gospel Hall and construction of 5 No. residential dwellings with associated parking and landscaping.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01622/FUL,,299 Broomfield Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570634,208958,0.10,not owned by a public authority,yes,permissioned,full planning permission,2016-12-15,,,8,"Demolition of existing guest house and construction of four 1 bedroom flats and four 2 bedroom flats, with associated parking, amenity areas, bin store and new access.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00777/FUL,,Land rear of 269A and 269B Broomfield Road Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570513,208764,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-06-28,,,2,"First floor side extension, two first floor side windows and one new rear dormer window to the existing building. Three storey rear extension to create 2no two bedroom flats with associated parking on ground floor.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01881/OUT,,Site at Hyde Farm Nursery Hyde Lane Danbury,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,579880,203593,0.20,not owned by a public authority,yes,permissioned,outline planning permission,2016-12-22,,,1,Removal of all buildings and construction of one two-storey dwelling and detached cartlodge,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01117/FUL,,86 Main Road Danbury Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,577774,205352,0.20,not owned by a public authority,yes,permissioned,full planning permission,2015-09-16,,,9,"Demolition of existing buildings and construction of 9no. one and two bedroom residential apartments in three blocks, one and a half and two storeys high",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01240/FUL,,Woodend Cat Hotel 77 Hopping Jacks Lane Danbury Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,578969,205616,0.15,not owned by a public authority,yes,permissioned,full planning permission,2015-08-12,,,1,Demolition of existing cattery and construction of one house,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/00579/FUL,,24 Butts Lane Danbury Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,578536,205155,0.09,not owned by a public authority,yes,permissioned,full planning permission,2016-09-29,,,8,"Demolition of all existing buildings and construction of building containing 8, two-bed flats for persons over the age of 55 years, parking, refuse store and access.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01542/FUL,,Westwood Livery Sporhams Lane Sandon,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,575734,203750,0.04,not owned by a public authority,yes,permissioned,full planning permission,2014-12-10,,,1,Provision of new managers facility with associated accommodation,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01900/OUT,,Chamberlains Farm Sporhams Lane Sandon,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,576127,203968,1.51,not owned by a public authority,yes,permissioned,outline planning permission,2016-06-15,,,4,"Demolition of existing commercial storage buildings, re-provision of horsicultural buildings, re-provision of existing dwelling and erection of 4no. new residential dwellings.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/01208/OUT,,Buildings rear of Spread Eagle Church Lane Ford End,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,567951,216705,0.24,not owned by a public authority,yes,permissioned,outline planning permission,2015-09-09,,,1,New detached dwelling with garage,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00335/FUL,,63 and 65 Brock Hill Runwell Wickford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,574385,195187,0.16,not owned by a public authority,yes,permissioned,full planning permission,2017-07-11,,,3,Demolition of the former petrol filling station and bungalow. Construction of 4 dwellings with associated garages including new access.,,,,,,,Site stalled,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00905/FUL,,Land Rear of 132 Brock Hill Runwell,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,574238,195600,0.18,not owned by a public authority,yes,permissioned,full planning permission,2017-08-10,,,3,Demolish existing workshops and storage buildings and construction of 3 new single storey dwellings with associated parking.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00722/FUL,,Land and Garages at 71 School Road Downham,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,572525,196128,0.03,not owned by a public authority,yes,permissioned,full planning permission,3017-06-07,,,1,"Remove existing outbuilding, proposed new two bedroom Chalet Bungalow.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00079/FUL,,Site at Park Lane Riding School Park Lane Ramsden Heath,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571152,195226,0.38,not owned by a public authority,yes,permissioned,full planning permission,2017-07-12,,,6,"Redevelopment of Park Lane Riding School to create six new dwelling houses with associated access, parking and garages.",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00312/FUL,,Land Adjacent Woodside Dowsett Lane Ramsden Heath,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570957,196928,0.38,not owned by a public authority,yes,permissioned,full planning permission,2017-04-26,,,1,Construction of a new dwelling,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/01683/FUL,,Land at the Grange Stock Road Stock,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,568744,197485,0.15,not owned by a public authority,yes,permissioned,full planning permission,2016-11-18,,,1,Demolition of existing workshop and warehouse (B1) and the construction of 1no. new 4-bedroom detached dwelling (C3).,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/00987/FUL,,The Grange Stock Road Stock,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,568768,197453,0.35,not owned by a public authority,yes,permissioned,full planning permission,2017-08-09,,,3,Demolition of the commercial buildings and removal of the established commercial use. Construction of 3 dwellings with detached garages including associated works.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,15/00777/FUL,,Land North of 5 to 7 Baron Road South Woodham Ferrers,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,581193,197347,0.20,not owned by a public authority,yes,permissioned,full planning permission,2016-03-17,,,4,4 No. terraced dwellings and associated hardstanding.,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,16/02272/FUL,,Templeton House Templeton Park Bakers Lane West Hanningfield,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570859,201274,0.08,not owned by a public authority,yes,permissioned,full planning permission,2017-03-29,,,5,"Demolition of existing building, garage & site office and construction of new building to include six one-bedroom flats",,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/01049/FUL,,Buildings rear of Oxney Grove Ongar Road West Wtittle,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,566093,205893,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-10-24,,,1,Demolition of all structures and removal of existing use as a builder's yard. Construction of a detached dwelling,,,,,,,,2017-10-30,2017-10-30
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/01542/FUL,,Barn at Little Mascalls West Hanningfield Road Great Baddow Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,573147,202504,0.26,not owned by a public authority,yes,permissioned,full planning permission,2017-10-31,,,1,"Demolish Dutch barn (with extant planning permission for conversion into a dwelling) and remove associated hard standings and walls, erect part single, part two-storey traditional agricultural style building for use as single family dwellinghouse, lay out parking spaces and form private amenity area.",,,,,,,,2017-11-06,2017-11-14
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/01074/FUL,,Site at Crowsheath Farm Hawkswood Road Downham,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,571794,197011,0.45,not owned by a public authority,yes,permissioned,full planning permission,2017-11-02,,,7,"Demolition of nine residential units, outbuildings and caravan site with hardstanding. Construction of four dwellings with associated parking and cartlodges. Conversion of Blue/Green Barn to four dwellings with parking area and associated landscaping.",,,,,,,,2017-11-06,2017-11-14
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,17/01746/FUL,,101A Moulsham Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570462,205886,0.19,not owned by a public authority,yes,permissioned,full planning permission,2017-11-23,,,9,"Development of the site from a single detached dwelling and adjacent dental surgery to a 3 and a half storey building with 10 flats and a ground floor dental surgery, plus associated car parking. New vehicular access.",Proposed Dental Surgery,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,14/01458/FUL,,Central Diamond Drilling ltd Store Rear of 26 The Street Little Waltham,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570670,212586,0.26,not owned by a public authority,yes,permissioned,full planning permission,11/11/2014,,,1,Demolition of commercial building and replacement with one dwelling,,,,,,,site stalled,2017-12-06,06/12/2017
