Organisation URL,Organisation Label,"Site Reference
",Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-11,,"“Greenwich Millennium Village, Peartree Way & West Parkside Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540080,178974,8.01,Unknown ownership,Yes,Permissioned,Outline planning permission,30/03/2012,,,1746,"“12/0022/O. A mixed use development comprising: up to a total of 1,746 Class C3 residential units; up to a total of 1,190 m² (GEA) Flexible Class A1 (shops) and/or A2 (financial and professional services) and/or A3 (restaurants and cafes) and/or A4 (drinking establishments); up to a total of 4,462 m² (GEA) business space for B1(a) (offices) and/or B1(b) (research and development) and/or B1(c) (light industry); up to 500 m² (GEA) Class D1 for a children's nursery; up to a total of 750 m² (GEA) Class D2 for community space and a management facility; up to a total of 992 m² (GEA) for two energy centres; associated open space, hard and soft landscaping, car parking and servicing, highways and transport works and ancillary works; with all matters reserved for future approval except for access (Outline Application). In addition to the matters set out above, full details (access, appearance, landscaping, layout, scale) in relation to the first sub-phase, being Parcel 1, located to the north and east of the site for 459 residential units,; a 365 m² energy centre, associated open space, hard and soft landscaping, car parking and servicing, highways and transport works and ancillary works.“","“Up to 1,190 m² (GEA) Flexible Class A1 (shops) and/or A2 (financial and professional services) and/or A3 (restaurants and cafes) and/or A4 (drinking establishments); up to a total of 4,462 m² (GEA) business space for B1(a) (offices) and/or B1(b) (research and development) and/or B1(c) (light industry); up to 500 m² (GEA) Class D1 for a children's nursery; up to a total of 750 m² (GEA) Class D2 for community space and a management facility; up to a total of 992 m² (GEA) for two energy centres.“",,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-12,,"“South East London Aquatic Centre, Europe Rd Woolwich (King Henry's Dock)“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542828,179234,0.13,Unknown ownership,Yes,Permissioned,Full planning permission,30/03/2012,,,100,"“11/1584/F. Redevelopment of site to provide a 16 storey building (height, scale and bulk of building to remain the same from previous consultation) with new purpose built community facilities for angling club and 100 residential units above comprising 27 x 1-brm, 69 x 2-brm (with a greater number of larger 2-brm/4 person units) and 4 x 3-brm units with associated car parking, cycle parking, refuse storage and amenity space. (Departure from Unitary Development Plan).”",“Community facilities for angling club “,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-13,,"“Former Westcombe Park police station, 11 Combedale Rd Westcombe Park“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540200,178236,0.1,Unknown ownership,Yes,Permissioned,Full planning permission,03/09/2012,,,9,“12/1668/F. Conversion of property to form 9 x 2-brm flats with associated car parking and landscaping.”,,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-14,,"“Warren Masterplan, Beresford St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543766,179134,14.98,Unknown ownership,Yes,Permissioned,Outline planning permission,19/06/2013,,,2032,"“13/0117/O. Mixed-use development comprising 2,032 residential units and 2,442 (GEA) m² of non-residential floor space (A1 / A2 / A3 / A4 / B1 / D1 uses), access, landscaping, publicly accessible open space, car and cycle parking provision and refuse and recycling storage areas.“","“2,442 (GEA) m² of non-residential floor space (A1 / A2 / A3 / A4 / B1 / D1 uses)'“",,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-15,,“Land adjacent to 106-116 McLeod Rd & Dahlia Rd Abbey Wood“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,546816,178594,0.11,Unknown ownership,Yes,Permissioned,Outline planning permission,08/11/2013,,,9,“13/2193/O. Demolition of existing outbuildings and erection of 3 x 3-brm houses and 6 x 2-brm self-contained flats.”,,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-16,,“139 Greenwich High Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537852,177213,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,05/03/2014,,,9,“13/2725/F. Demolition of existing building and construction of a part 4/part 6-storey building comprising of commercial space at ground and lower ground floors and 8 x 2-brm apartments.”,“Commercial space at ground and lower ground floors“,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-17,,“Plot M0103 (land east of Barge Walk) Peninsula Riverside Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539786,179522,0.43,Unknown ownership,Yes,Permissioned,Full planning permission,31/03/2014,,,224,"“13/2874/F.  Residential development comprising of 224 units, private and communal amenity space, car parking and cycle parking, servicing and access, public realm, hard and soft landscaping and associated works.”",,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-18,,"“St Joseph's Community Hall, Pelton Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539346,178315,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,11/04/2014,,,8,"“14/0336/F. Demolition of existing single storey elements, construction of 1st floor extension, external alterations and conversion of St Josephs Community Hall to form 6 dwellings (4 x 2-brm maisonettes, 2 x 2-brm flats) and construction of 2 x 4-brm houses with associated car parking and landscaping.”",,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-19,,“Grove Market Place & 60 Eltham High St Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542612,174392,0.43,Unknown ownership,Yes,Permissioned,Full planning permission,15/05/2014,,,144,"“13/2407/F. Mixed use development scheme consisting of the construction of buildings up to 8-storeys comprising 313 m² commercial unit (A1/A3), 144 residential units, 49 car parking spaces, cycle spaces and associated works.”",“313 m² commercial unit (A1/A3)“,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-20,,"“Former Woolwich Congregational Church, Rectory Place Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543123,178746,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,30/07/2014,,,9,“14/1324/F. Construction of a replacement church and 3 x 3-brm 6 x 2-brm flats/maisonettes.”,“Replacement church“,,,,,,"“Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-21,,"“Callis Yard, Bunton St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543431,179174,0.43,Unknown ownership,Yes,Permissioned,Full planning permission,05/12/2014,,,152,"“14/1355/F. Partial demolition of existing buildings and redevelopment of the site to provide 152 residential dwellings (comprising 57 x 1-brm, 80 x 2-brm, and 15 x 3-brm accommodation), together with indoor children’s play centre, ancillary gym, and associated landscaping and car parking.""","""Indoor children’s play centre & ancillary gym.“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-22,,“76 Eltham Rd Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540394,174757,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,16/12/2014,,,4,"“14/2778/F. Demolition of existing building and construction of a 4-storey block comprising 4 x 1-brm, 4 x 2-brm and 4 x 3-brm flats.”",,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-23,,“142-144 Eltham High St Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542921,174384,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,11/02/2015,,,7,"“14/3388/F. Conversion of first floor to form 7 self-contained flats (4 x 1-brm, 2 x 2-brm, 1 x 3-brm).”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-24,,"“Kundan Building Supplies, Angerstein Wharf, Horn Lane Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540234,178506,0.08,Unknown ownership,Yes,Permissioned,Full planning permission,12/03/2015,,,8,"“14/2669/F. Redevelopment of site to create 4 live/work units (3 x 2-brm, 1 x 3-brm) and 4 flats (3 x 2-brm and 1 x 3-brm).”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-25,,“38 Wellington St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543462,178787,0.08,Unknown ownership,Yes,Permissioned,Full planning permission,19/03/2015,,,34,"“13/2798/F. Demolition of existing buildings and the construction of a building comprising a lower ground level with five storeys providing 455 m² of A3/A4/D2 space on the ground floor and 34 residential units comprising 13 x 1-brm flats and 21 x 2-brm flats with associated disabled car parking, cycle parking and refuse storage.”",“455 m² of A3/A4/D2 space on the ground floor“,,,,,,"""Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-26,,"“Kidbrooke Village Phase 3, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540982,175501,4.73,Unknown ownership,Yes,Permissioned,Full planning permission,27/03/2015,,,1238,"“14/2607/F. Demolition of existing buildings and construction of 1,238 residential units (an increase of 255 residential units over and above the 2013 consent figure of 983 dwellings) (Use Class C3) together with 1,957 m² retail / commercial (Use Class A1), 1,305 m² of retail / commercial (Use Class A2-A5), 345 m² restaurant (Use Class A3), 5,713 m² of community (Use Class D1), a 2,696 m² supermarket (Use Class A1), a public square, publicly accessible open space and associated access, servicing, car parking, cycle parking and landscaping.""","“1,957 m² retail/commercial (Use Class A1), 1,305 m² of retail / commercial (Use Class A2-A5), 345 m² restaurant (Use Class A3), 5,713 m² of community (Use Class D1), a 2,696 m² supermarket (Use Class A1), a public square, publicly accessible open space.“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-27,,"“Kidbrooke Village Phase 5, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,541092,175230,4.78,Unknown ownership,Yes,Permissioned,Full planning permission,27/03/2015,,,1144,"“14/2611/F. Demolition of existing buildings and construction of 1,144 residential units (an increase of 258 residential units over and above the 2013 consent figure of 886 dwellings), publicly accessible open space and associated access, car parking, cycle parking and landscaping.""",,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-28,,"“Kidbrooke Village Phase 6, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540623,175720,4.09,Unknown ownership,Yes,Permissioned,Outline planning permission,27/03/2015,,,713,"“14/2554/O. Hybrid Application: i) Detailed planning permission for the demolition and construction of 713 residential units (an increase of 78 residential units over and above the 2009 consent of 635 dwellings for this phase) (use class C3), new publicly accessible open space and associated access, servicing, parking, landscaping and works; and ii) Outline planning permission, with all matters reserved apart from access, layout and scale, for 133 extra care units (use class C3), 2,971 m. community floor space (use class D1), a 3,200 m² replacement primary school (use class D1), 250 m² retail floor space (use class A1) and associated access, servicing, parking, landscaping and works (as part of the proposals to increase the 2009 approved Kidbrooke masterplan from 4,000 dwellings to 4,763 dwellings).""","“133 extra care units (use class C3), 2,971 sq.m. community floor space (use class D1), a 3,200 sq.m. replacement primary school (use class D1), 250 sq.m. retail floor space (use class A1) “",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-29,,"“Former Car Park & Units 12, 14, 15 and 16 Gunnery Terrace, Plumstead Rd Woolwich (Crossrail above-station development)“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,544082,178978,0.84,Unknown ownership,Yes,Permissioned,Full planning permission,01/04/2015,,,394,"“13/3307/F. Construction of 394 residential units and 734 m² of non-residential floor space (use classes A1, A2, A3, A4, B1, D1 and D2) within five buildings surrounding a central landscaped podium and the east ventilation shaft and service buildings at Woolwich Crossrail station. All with associated car parking access, servicing and landscaping.“","“734 m² of non-residential floor space (use classes A1, A2, A3, A4, B1, D1 and D2)“",,,,,,"""Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-30,,“36-38 Artillery Place Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543069,178552,0.25,Unknown ownership,Yes,Permissioned,Full planning permission,02/04/2015,,,52,"“14/3092/F. Demolition of the existing buildings and erection of two 6-storey buildings to provide 52 residential flats (11 x 1-brm, 17 x 2-brm, and 24 x 3-brm) with associated landscaping, amenity space, cycle parking, refuse and recycling storage, and basement car parking.“",,,,,,,“Construction likely to begin early 2018.“,22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-31,,"“Connaught Estate, land south of Sandy Hill Lane west of Brookhill Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543544,178375,3.03,Unknown ownership,Yes,Permissioned,Outline planning permission,02/04/2015,,,354,"“14/0086/O. Redevelopment of the Connaught Estate, comprising of the construction of up to 684 residential units, of which 332 are subject to detailed application (Phase 1), with associated access, parking and private and public open space (Hybrid Application).”",,,,,,,"""Started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-32,,"“Kings Arms, 1 Frances St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542853,178502,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,02/04/2015,,,11,"“11/3032/F. Demolition of existing pub and erection of a part three, part four-storey building comprising a replacement pub at basement and ground floor level with 12 flats above (4 x 1, 5 x 2 & 3 x 3-brm) and 10 parking spaces.”","""Replacement pub at basement and ground floor level""",,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-33,,"“Ava Cars, 188 Court Rd Mottingham“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542632,173191,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,02/04/2015,,,14,"“13/1841/F. Construction of a 4-storey building comprising a commercial unit and two wheelchair flats at ground floor, 5 x 1-brm, 5 x 2-brm and 2 x 3-brm flats on mezzanine, first, second and third floors.”","""Commercial unit""",,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-34,,"“3rd & 4th Floors Farndale Court, 1-3 Master Gunner Place Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542216,177107,0.1,Unknown ownership,Yes,Permissioned,Full planning permission,12/08/2015,,,7,"“15/0783/F. Extension of the existing third and fourth floors to form 6 x 4-brm flats and 1 x 1-brm flat, with the additional conversion of part of an existing outbuilding into a new laundry room, office, and bicycle store.”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-35,,“54 Westcombe Hill Westcombe Park“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540268,178142,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,13/08/2015,,,9,"“15/0919/F. Demolition of existing buildings and construction of a lower ground, ground and 2-storey building for 9 residential units, car parking and all ancillary works.”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-36,,"“Lower Ground, Ground & 1st Floors, 1 Charlton Rd Blackheath“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540327,177388,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,26/08/2015,,,5,"“15/1483/F. Construction of a part 1/part 2-storey rear infill extension to facilitate the change of use of lower three floors from office to residential use (3 x 1-brm, 1 x 2-brm, 1 x studio) and associated bicycle storage enclosure and new fence and gate to stairs from rear parking area.”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-37,,“Garages adjacent to 39 Samuel St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542545,178866,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,22/09/2015,,,13,"“15/0138/F. Construction of a 5 storey block comprising 13 self-contained flats (7 x 1-brm, 4 x 2-brm and 2 x 3-brm).”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-38,,"“Lord Clyde, 1 Brookhill Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543618,177968,0.15,Unknown ownership,Yes,Permissioned,Full planning permission,29/09/2015,,,8,"“15/0655/F. Construction of a new building consisting of 1, 2, & 3-brm flats (Units 01, 04, 05, 08 & 09) on the land to the rear and demolition of existing Lord Clyde public house to replace with a ground floor A4 unit, and new 1, 2, & 3-brm flats above (Units 02, 03, 06 & 07).”","""Ground floor A4 unit""",,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-39,,"“Kitchener House & Ellington House, Ashmore Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543056,177111,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,22/10/2015,,,5,"“15/2686/F. Change of use of the D1 ancillary accommodation on the ground floor to residential, to provide 3 x 2-brm and 2 x 1-brm self-contained flats.”",,,,,,,"“Not started.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-40,,“145 Westmount Rd Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543109,175284,0.08,Unknown ownership,Yes,Permissioned,Full planning permission,26/10/2015,,,-1,"“14/3700/F. Re-configuration from 7 bedsits/studios into 1 x 1-brm, 2 x 2-brm, and 1 x 3-brm self-contained flats together with the construction of 2 x two-storey 4-brm houses to rear of site to replace existing structures.”",,,,,,,"""Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-41,,“11 Eglinton Hill Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543786,177616,0.01,Unknown ownership,Yes,Permissioned,Full planning permission,06/11/2015,,,5,"“15/2481/F. Change of use from HMO to 2 x 1-brm, 2 x 2-brm, and 1 x 3-brm self-contained flats including the formation of a loft conversion together with the construction of a mansard roof extension, erection of a two storey side extension, and insertion of three front roof lights.”",,,,,,,"""Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-42,,“6 Frances St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,542873,178525,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,10/11/2015,,,6,"“15/2187/F. Re-development of 3-storey building with part 3/part 4 storey building, to provide 1 commercial unit (Class A1 use), 4 x 1-brm flats and 2 x 2-brm flats.”",“1 commercial unit (use class A1)“,,,,,,"“Not started.""",22/12/2017,22/12/2017
