OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,SHELAARef
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council, 39NH,,"""Robinson Road Depot, Robinson Road, Newhaven""
",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039670.96,3324.13,0.8,mixed ownership,,not permissioned,,,,,80,,,,,,,,,2017-12-21,2017-12-21, 39NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,40NH,,"""LDC Offices, Fort Road Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040105.68,3616.09,0.13,owned by a public authority,Yes,not permissioned,,,,,6,,,,,,,,,2017-12-21,2017-12-21,40NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,48NH,,"""Clubhouse, Railway Quay, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039796.44,3769.95,0.46,not owned by a public authority,,not permissioned,,,,,25,,,,,,,,,2017-12-21,2017-12-21,48NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,51NH,,"""Newhaven Police Station, South Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039906.7,3553,0.15,not owned by a public authority,Yes,not permissioned,,,,,10,,,,,,,,,2017-12-21,2017-12-21,51NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,54NH,,"""Royal Mail Depot,High Street, Newhaven""
",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039855.69,3334.68,0.1,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,,2017-12-21,2017-12-21,54NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,55NH,,"""Former Grays Primary School, Western Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040220.54,3472.01,0.84,not owned by a public authority,Yes,not permissioned,,,,,25,"""Redevelopment to provide 32 dwelling houses (20 open market houses and 12 social housing units)""",,,,,,,,2017-12-21,2017-12-21,55NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,03PP,,"""11A Newhaven Square, High Street""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,3969710.78,5924.81,0.03,not owned by a public authority,Yes,not permissioned,,,,,8,"""Erection of a three storey building comprising of two x one bed apartments and six x two bed apartments (LW/13/0023 permission has now expired)""",,,,,,,,2017-12-21,2017-12-21,03PP
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,31NH,,"""Newhaven Marina, Fort Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040581.89,3741.53,5.7,not owned by a public authority,Yes,permissioned,full planning permission,2012-07-26,,,100,"""Erection of 319 residential apartments & 12 town houses arranged in 11 blocks (between 3 & 9 storeys high) with car parking""","973sqm of commercial floorspace (including A3 restaurant &/or A1 marina related shops; marina facilities (including office, clubroom etc); boat/car park; berths & riverside walkway ",,,,,,,2017-12-21,2017-12-21,31NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR03,,"""Marco Trailers, Railway Road, Newhaven""
",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039925.07,3917.53,1.43,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-16,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015MSJDLI000,,10,"""The proposals provide for 10 No dwellings each of gross floor area of approximately 144m2""
over 3 floors one of which comprises entirely garage and utility areas.",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,19PT,,"""The Old Motel Site, 1 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040412.16,1458.35,0.42,not owned by a public authority,Yes,pending decision,,,,,26,"""Planning approval granted July 2012 for 25 units now lapsed, recent application submitted June 2015 (LW/15/0462) for 26 units – approved subject to S106""",,,,,,,,2017-12-21,2017-12-21,19PT
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64PT,,"""Peacehaven Police Station and Car Park, 264 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039984.57,343.62,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,,31,"""Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping""",,,,,,,,2017-12-21,2017-12-21,64PT
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR05,,"""184 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040084.5,207.17,0.1,not owned by a public authority,Yes,permissioned,full planning permission,2015-06-10,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LTNZUAJD1W000,,10,"""Creation of an additional storey and alterations to ground floor layout to the block of flats approved under LW/11/1318 to provide a total of 10 flats and 1 retail unit plus revisions to the external treatment of the building""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR06,,"""272 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039971.49,-413.2,0.05,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ4IJDXD369,,8,"""Application is for change of use and conversion of a former Heating Engineers offices and depot (Sui generis use) to 8 residential apartments""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,02RG,,"""Diplocks Yard, Bishops Lane, Ringmer""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4030922.32,4248.85,1,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-22,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ43JDXD821,,12,"""Demolition of commercial buildings, retention of industrial units and erection of 10 dwellings with garages, parking, replacement access road and external works""",,,,,,,,2017-12-21,2017-12-21,02RG
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,15RG,,"""Busy Bee Garage, Lewes Road Ringmer""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4031215.23,4221.62,0.12,not owned by a public authority,,not permissioned,,,,,8,,,,,,,,,2017-12-21,2017-12-21,15RG
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,36RG,,"""Shopping precinct, Springett Avenue, Ringmer""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4031288.71,4019.97,0.49,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRVQ8ZJDK4600,,14,,,,,,,,,2017-12-21,2017-12-21,36RG
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,24SF,,"""Station Approach/ Dane Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041676.28,7081.87,0.03,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KREM3MJD00G00,,10,,,,,,,,,2017-12-21,2017-12-21,24SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,23PP,,"""Holmes Lodge, 72 Claremont Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041391.08,6699.65,0.07,not owned by a public authority,Yes,permissioned,full planning permission,2009-08-05,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ35JDXD470,,12,"
Demolition of existing building & erection of 12 x two bedroomed flats with garages, car parking and landscaping ",,,,,,,,2017-12-21,2017-12-21,23PP
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,49PP,,"""Mardon Court, Claremont Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041409.05,6210.8,0.24,not owned by a public authority,Yes,permissioned,full planning permission,2014-08-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=0006SCJDLI000&activeTab=summary&previousCaseUprn=010033252897&previousCaseNumber=00067JJDBU000&keyVal=K6M6EGJD00D00,,19,"""Demolition of existing house and erection of 19 flats with 19 car parking spaces and 20 bike spaces (renewal of planning approval LW/06/0933)""",,,,,,,,2017-12-21,2017-12-21,49PP
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,04SF,,"""Gas Works site, Blatchington Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041457.4,7295.6,0.34,mixed ownership,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ3AJDXD081,,30,,,,,,,,,2017-12-21,2017-12-21,04SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,05SF,,"""East Street Car Park, East Street, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041654.22,7370.77,0.15,owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,10,,,,,,,,,2017-12-21,2017-12-21,05SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,18SF,,"""6 Steyne Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041890.63,7104.4,0.06,not owned by a public authority,Yes,permissioned,full planning permission,2013-04-17,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=O8E6ABJDH3A00&activeTab=summary&previousCaseNumber=LW%2F16%2F0470%2FCD&keyVal=M7TD86JD1W000,,6,"""Demolition of existing building and erection of 6 x 3 bedroom houses with parking and associated landscaping""
Completed?
",,,,,,,,2017-12-21,2017-12-21,18SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,25SF,,"""Land at Elm Court, Blatchington Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041403.82,7405.52,0.24,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-07,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,"""Erection of nine dwellings with associated infrastructure""",,,,,,,,2017-12-21,2017-12-21,25SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,27SF,,"""Seaford Consitutional Club, Crouch Lane, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041862.91,7381.49,0.31,not owned by a public authority,Yes,pending decision,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ37JDXD027,,19,"""Alterations and extension to the Seaford Constitutional Club to provide new club facilities, 8x2 bed flats, 3x1 bed flats & 8x3 bedroom houses together with new carpark layout and landscaping""",,,,,,,,2017-12-21,2017-12-21,27SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,21SF,,"""51-53 Blatchington Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041498.91,7202.11,0.12,not owned by a public authority,Yes,permissioned,outline planning permission,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=K5J521JD00200&activeTab=summary&previousCaseUprn=010033262911&previousCaseNumber=K5J515JD00200&keyVal=JSXWXLJD01L00,,9,"""Conversion of existing building on Blatchington Road frontage to three houses and erection of terrace of six houses to the rear, with gardens, parking and turning areas (discontinuation of commercial use)""",,,,,,,,2017-12-21,2017-12-21,21SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,29SF,,"""Land rear of Chichester Road, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041436.83,7236.29,0.3,not owned by a public authority,Yes,permissioned,full planning permission,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,10,,,,,,,,,2017-12-21,2017-12-21,29SF
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR07,,"""34-40 High Street, Seaford""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4041812.76,7239.17,0.15,not owned by a public authority,Yes,permissioned,full planning permission,2013-11-14,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&previousKeyVal=MSHP10JD1W000&activeTab=summary&previousCaseNumber=LW%2F13%2F0575%2FCD&keyVal=LXJ2NHJD1W000,,8,"""Change of use of upper floors to eight residential units comprising five x two bed flats, one x one bed flat and two x bedsit units""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,20WV,,"""Springfield Industrial Estate, Ditchling Road Wivelsfield""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4024915.82,6600.13,2.3,not owned by a public authority,Yes,permissioned,full planning permission,2015-05-21,http://87.252.33.67/AnitePublicDocs/00208966.pdf,,31,"""Erection of 31 residential dwellings""",,,,,,,,2017-12-21,2017-12-21,20WV
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,62PT,,"""Land between 330-338 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039867.55,784.76,0.18,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MMSNAIJD1W000,,6,,,,,,,,,2017-12-21,2017-12-21,62PT
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64PT,,"""264 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039982.1,350.53,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,,31,"""Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping""",,,,,,,,2017-12-21,2017-12-21,64PT
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR10,,"""54 High Street, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039849.98,3358.89,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2015-05-28,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=000JXNJDLI000&activeTab=summary&previousCaseUprn=100060066333&previousCaseNumber=000HUXJDBU000&keyVal=JMX7UUJD00C00,,5,"""Demolition of existing building and erection of three x one bedroom flats and two x two bedroom flats""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR11,,"""Garage Block, Rectory Close, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040149,3048.31,0.07,not owned by a public authority,Yes,permissioned,full planning permission,2016-02-29,,,5,"""Erection of 3 x two bedroom houses and 2 x one bedroom flats with associated car parking""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR12,,"""328 South Coast Road, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039878.31,-752.11,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2016-08-09,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ONAJDLI000,,6,"
Demolition of existing bungalow and erection of 3-storey block of 6 x two bedroom flats  ",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64NH,,"""Unit 1 Newhaven Workshop, Beach Road Industrial Estate""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040202.22,3936.86,1.1,not owned by a public authority,Yes,not permissioned,,,,,39,,,,,,,,,2017-12-21,2017-12-21,64NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,45PT,,"""Piddinghoe Avenue Car Park, Peacehaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040234.2,619.1509,0.14,owned by a public authority,Yes,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CL6JDLI000,,6,,,,,,,,,2017-12-21,2017-12-21,45PT
