OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,BNG_Easting,BNG_Northing
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,KIL/601,,"""Land off Norwood Place, Killamarsh""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1934-kil-601/file,ETRS89,-1.3012,53.32609,0.29,owned by a public authority,,not permissioned,,,,,9,"""This is a garage site for the re-development of 9 dwellings.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,446641,381244
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,KIL/2304,,"""Land on the B6058 to the east of Barbers' Lane""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1905-kil-2304/file,ETRS89,-1.31116,53.32845,2.24,not owned by a public authority,yes,not permissioned,,,,,60,"""This site would provide for 60 dwellings which would be accessed from Sheffield Road.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""Undertakers business preceded by car sales. Agricultural use abandoned before 1948.""",31/10/2017,31/10/2017,445975,381500
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,KIL/2501,,"""The Old Station, Station Road, Killamarsh""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1906-kil-2501/file,ETRS89,-1.328822,53.32366,0.43,not owned by a public authority,yes,permissioned,full planning permission,27/03/2008,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JLSJYZLI43000,,14,"""Site with full planning permission for 14 detached two storey dwellings but not built out yet; s106 completed.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""The Old Station used to be sited here, but is demolished now.""",31/10/2017,31/10/2017,444844,380957
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,NW/1605,,"""North Wingfield Primary School, Draycott Road, North Wingfield""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1907-nw-1605/file,ETRS89,-1.38928,53.18335,1.01,owned by a public authority,yes,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NT28SQLILR200,,28,"""School buildings are already demolished but no permission for re-development until now. This site with 28 dwellings is part of a larger site for 50 dwellings.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,440910,365311
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,NW/2201,,"""103 Williamthorpe Road, North Wingfield""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1909-nw-2201/file,ETRS89,-1.37907,53.18393,0.4,not owned by a public authority,yes,permissioned,full planning permission,20/08/2010,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=KJZO7QLI03L00,,12,"""The site was part of a large area which has had permission for a scheme of 43 dwellings covered by 3 applications.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""In 2015 submitted for consideration as part of the Local Plan.""",31/10/2017,31/10/2017,441592,365381
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,S&H/902,,"""Garage site and Plots off Byron Grove, Stonebroom""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1910-s-h-902/file,ETRS89,-1.39414,53.12701,0.25,owned by a public authority,,not permissioned,,,,,8,"""For housing delivery this site needs to be considered along with other Housing LAA sites, especially S&H/2001.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,440638,359041
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,WW/2201a,,"""Mill Lane, Wingerworth""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1935-ww-2201-a/file,ETRS89,-1.41262,53.2022,5.38,owned by a public authority,,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=INVLYJLII2000,,143,"""In Oct 2007, PP 05/01143/OL granted for a mix of uses including residential units (C3), commercial development (B1) and industrial development (B2)""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""This brownfield site is part of the larger Avenue Strategic Site.""",31/10/2017,31/10/2017,439333,367395
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00609/OL,,"""The Bungalow, Park Farm, Park Avenue, Holmesfield""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1925-17-00609-ol/file,ETRS89,-1.52135,53.29673,0.29,not owned by a public authority,yes,permissioned,outline planning permission,27/07/2017,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OQRTQLLIK2A00,,2,"""Outline application with all matters reserved for two dwellings.""",,,,,,,,31/10/2017,31/10/2017,432000,377857
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00751/FL,,"""NEDDC Area Housing Office, High Street, Dronfield, S18 1PY""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1926-17-00751-fl/file,ETRS89,-1.47699,53.30197,0.19,owned by a public authority,,pending decision,full planning permission,,,,10,"""Conversion of existing buildings into residential dwellings and the development of 4 new dwellings on associated car park.""",,,,,,,,31/10/2017,31/10/2017,434952,378461
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/01145/OL,,"""The Telmere Lodge, Mansfield Road, Hasland, Chesterfield, S41 0JH""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1918-15-01145-ol/file,ETRS89,-1.39532,53.21363,0.48,not owned by a public authority,,pending decision,outline planning permission,,,,9,"""Outline application for the construction of 9 affordable dwellings; this site is next to The Telmere Lodge which itself would also be re-developed for housing""",,,,,,,,31/10/2017,31/10/2017,440478,368676
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/00748/FL,,"""Commercial Inn, Bridge Street, Pilsley, Chesterfield, S45 8HE""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1921-16-00748-fl/file,ETRS89,-1.36796,53.15654,0.11,not owned by a public authority,,pending decision,full planning permission,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=NQ2ZQELIL9600&activeTab=summary,,17,"""Conversion and extension of public house to create 17 residential units and a 2 storey extension to rear""",,,,,,,,31/10/2017,31/10/2017,442361,362341
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/00054/FL,,"""St Peter and St Paul Church, Rectory Road, Duckmanton, Chesterfield, S44 5JH""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1924-17-00054-fl/file,ETRS89,-1.33786,53.23833,0.35,not owned by a public authority,,pending decision,full planning permission,,,,5,"""Application for the construction of 5 detached dwellings""",,,,,,,,31/10/2017,31/10/2017,444290,371458
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,17/01059/FL,,"""Duckmanton Lodge, Chesterfield Road, Calow, Chesterfield, S44 5UJ""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1927-17-01059-fl/file,ETRS89,-1.37584,53.23418,0.45,not owned by a public authority,,pending decision,full planning permission,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=M8JOI9LI2Z000&activeTab=summary,,1,"""Demolition of existing club and outbuildings and construction of 5 bed detached dwelling and garage""",,,,,,,,31/10/2017,31/10/2017,441759,370973
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/01029/FL,,"""Hearty Oak, Northern Common, Dronfield""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1922-16-01029-fl/file,ETRS89,-1.50639,53.30474,0.26,not owned by a public authority,yes,permissioned,full planning permission,17/01/2017,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=ND6C3KLIIXQ00&activeTab=summary,,6,"""Application for 6 no. detached dwelling houses""",,,,,,,,31/10/2017,31/10/2017,432991,378755
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/00685/DIS,,"""Royal Hotel, 2 Station Road, Eckington, S21 4FX""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1914-15-00685-discon/file,ETRS89,-1.35512,53.30902,0.04,not owned by a public authority,yes,permissioned,other,20/01/2014,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=NQX50YLI06400&activeTab=summary,,9,"""Proposed conversion of existing public house into 9 no. self contained apartments and demolition of outbuilding/garage""",,,,,,,,31/10/2017,31/10/2017,443067,379311
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/01141/FL,,"""The Telmere Lodge, Mansfield Road, Hasland""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1917-15-01141-fl/file,ETRS89,-1.39514,53.21384,0.41,not owned by a public authority,yes,permissioned,full planning permission,27/09/2017,,,5,"""Proposed demolition of public house and ancillary buildings/structures and construction of 3 houses and 2 bungalows""",,,,,,,,31/10/2017,31/10/2017,440490,368700
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/01160/OL,,"""115, North Wingfield Road, Grassmoor""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1923-16-01160-ol/file,ETRS89,-1.39886,53.20353,0.28,not owned by a public authority,yes,permissioned,outline planning permission,02/06/2017,,,7,"""Demolition of retail unit and proposed residential development""",,,,,,,,31/10/2017,31/10/2017,440251,367551
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/00868/FL,,"""Spinning Wheel Inn, Draycott Road, North Wingfield""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1915-15-00868-fl/file,ETRS89,-1.38966,53.18198,0.04,not owned by a public authority,yes,permissioned,full planning permission,14/10/2016,,,6,"""Conversion of a public house and outbuildings to form 6 apartments""",,,,,,,,31/10/2017,31/10/2017,440886,365158
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/00113/OL,,"""Pilsley Miners Welfare, Rupert Street, Pilsley""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1919-16-00113-ol/file,ETRS89,-1.37292,53.16246,0.3,owned by a public authority,yes,permissioned,outline planning permission,17/02/2017,,,6,"""Demolition of disused Miners Welfare Club and outline application for the erection of 6 new dwellings""",,,,,,,,31/10/2017,31/10/2017,442024,362996
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,16/00569/FL,,"""The Rectory, Rectory Road, Long Duckmanton""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1920-16-00569-fl/file,ETRS89,-1.3398,53.23752,0.39,not owned by a public authority,yes,permissioned,full planning permission,14/10/2016,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=O84U5ALIGQQ00&activeTab=summary,,8,"""Demolition of existing care home and construction of 8 dwellings""",,,,,,,,31/10/2017,31/10/2017,444161,371367
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,15/01085/FL,,"""Fleur de Lys Hotel, Main Road, Unstone, Dronfield, S18 4AB""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1916-15-01085-fl/file,ETRS89,-1.44365,53.29164,0.13,mixed ownership,yes,permissioned,full planning permission,14/12/2016,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=MML62LLI01800&activeTab=summary,,8,"""Demolition of public house and erection of 8 no. dwellings""",,,,,,,,31/10/2017,31/10/2017,437183,377328
