OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SWI/037,,"""Tannery Site (SWM1a),    Swimbridge EX32 0PL""",https://www.northdevon.gov.uk/media/378100/bfl-swi-037-former-tannery-site-swimbridge-1-1250.pdf,ETRS89,-3.971107056,51.05216134,261943,129940,0.56,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,05/12/2016,,,5,"""OUTLINE PLANNING APPLICATION FOR ERECTION OF FIVE DWELLINGS (INCLUDING
ACCESS, LAYOUT & SCALE) (AMENDED PLANS)""",,,5,,,,,02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/039,,"""Berkeley Hotel, Wilder Road   ILFRACOMBE EX34 9AF""",https://www.northdevon.gov.uk/media/378085/bfl-ilf-039-former-berkeley-hotel-ilfracombe-1-750.pdf,ETRS89,-4.125203884,51.20888807,251647,147667,0.11,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,02/03/2017,,,11,"""CONVERSION OF FORMER HOTEL TO RESIDENTIAL USE (11 FLATS).""",,,11,,,,"""42969 - CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/07

42972 - LISTED BUILDING APPLICATION FOR CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/17

51147 - Conversion of hotel to form 11 self contained apartments. Refused 15-6-12

51148 - LBA Conversion of hotel to form 11 self contained apartments Refused 15-6-12

58381 : CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15

58382 : LISTED BUILDING APPLICATION CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/040,,"""Southcliffe Hotel, Torrs Park   ILFRACOMBE EX34 8AZ""",https://www.northdevon.gov.uk/media/378086/bfl-ilf-040-former-southcliffe-hotel-ilfracombe-1-1250.pdf,ETRS89,-4.1309244,51.20626582,251239,147387,0.12,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,20/12/2015,,,8,"""PARTIAL DEMOLITION OF FORMER HOTEL & ERECTION OF 10 APARTMENTS.""",,,8,10,,,"""63053 : ERECTION OF EIGHT APARTMENTS TO INCLUDE ASSOCIATED WORKS (ADDITIONAL INFORMATION). Pending Decision

56334 - Partial demolition of former hotel and erection of 10 apartments. Withdrawn""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/044,,"""Telephone Repeater Station, Rackfield   BARNSTAPLE EX31 1RL""",https://www.northdevon.gov.uk/media/378043/bfl-bar-044-telephone-repeater-station-1-750.pdf,ETRS89,-4.059656432,51.08359505,255835,133605,0.23,Not owned by a Public Authority,,Not permissioned,,,,,10,,,,10,20,,,"""Site is allocated within the adopted Local Plan (BAR1f) for about 20 dwellings.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/049,,"""Golden Coast Amusements, Wilder Road   ILFRACOMBE EX34 9AE""",https://www.northdevon.gov.uk/media/378087/bfl-ilf-049-former-golden-coast-amusements-ilfracombe-1-750.pdf,ETRS89,-4.124422378,51.20963973,251704,147749,0.1,Not owned by a Public Authority,,Not permissioned,,,,,23,,,,23,,,,"""35991 - DEMOLITION OF REDUNDANT ARCADE & ERECTION OF 23 FLATS & 2 SHOPS (AMENDED PLANS). Lapsed Planning Permission

Site is within a floodzone and existing culvert will need to be diverted.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BTA/051,,"""Workshops, Village Street Bishops Tawton  Barnstaple EX32 0DS""",https://www.northdevon.gov.uk/media/378079/bfl-bta-051-workshops-village-street-bishops-tawton-1-1250.pdf,ETRS89,-4.045391769,51.05089343,256733,129941,0.1,Not owned by a Public Authority,,Not permissioned,,,,Yes,5,,,,5,,,,"""Proposed for residential in the emerging Local Plan (BTA01)""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/053,,"""Former Wellington Laundry, Regents Place   ILFRACOMBE EX34 9AA""",https://www.northdevon.gov.uk/media/378088/bfl-ilf-053-former-wellington-laundry-ilfracombe-1-750.pdf,ETRS89,-4.123810861,51.20879647,251744,147654,0.08,Not owned by a Public Authority,,Not permissioned,,,,Yes,3,,,,3,5,,,"""49797 : DEMOLITION OF WAREHOUSE & ERECTION OF 5 DWELLINGS. Refused 07/04/10""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/057,,"""Mollands Garage, Quay Lane   INSTOW EX39 4JR""",https://www.northdevon.gov.uk/media/378091/bfl-ins-057-mollands-garage-instow-1-1250.pdf,ETRS89,-4.180366628,51.05197723,247277,130333,0.18,Not owned by a Public Authority,,Not permissioned,,,,,7,,,,7,,,,"""41172 - OUTLINE APPLICATION FOR ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE approved 3/10/08. Lapsed permission

52220 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING APPLICATION 41172 - Approved 6/6/13. Lapsed permission

52222 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 41173 FOR CONSERVATION AREA APPLICATION FOR DEMOLITION OF NON-LISTED BUILDINGS IN CONNECTION WITH ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE. Approved 13/06/13. Lapsed permission""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/058,,"""Sands Residential Care Home, 4-5 Bath Terrace  Instow Bideford EX39 4JJ""",https://www.northdevon.gov.uk/media/378092/bfl-ins-058-former-sands-residential-home-instow-1-1250.pdf,ETRS89,-4.180798857,51.05419061,247254,130580,0.14,Not owned by a Public Authority,,Not permissioned,,,,,6,,,,6,,,,"""49762 - CONVERSION OF FORMER CARE HOME TO FORM 12 APARTMENTS. Refused 22/04/16""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/063,,"""Chambercombe Bakery (ILF1a), Chambercombe Road   Ilfracombe EX34 9PH""",https://www.northdevon.gov.uk/media/378089/bfl-ilf-063-former-chambercombe-bakery-ilfracombe-1-1250.pdf,ETRS89,-4.104506613,51.20493661,253080,147186,0.45,Not owned by a Public Authority,,Not permissioned,,,,,20,,,,20,25,,,"""40002 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses Refused 04	/07/05

40737 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses together with surface & underground garaging, landscaping & associated works Withdrawn 03/03/06

38946 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 16 houses together with surface & underground garaging & associated works Refused 03/02/05

32555 	Outline Application in respect of demolition of existing building and erection of 19no. flats and 16no. houses including affordable housing together with surface and underground garaging, landscaping and associated works Refused 04/10/04""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/066,,"""Montebello Hotel, Fore Street   Ilfracombe EX34 9DJ""",https://www.northdevon.gov.uk/media/378090/bfl-ilf-066-former-montebello-hotel-ilfracombe-1-750.pdf,ETRS89,-4.119622744,51.20925917,252038,147697,0.06,Not owned by a Public Authority,,Not permissioned,,,,,20,"""Flats on upper floors""",Commercial uses on the ground floor,,20,25,,,,02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/067,,"""Old Laundry Works, Lower Raleigh Road   BARNSTAPLE EX31 4HY""",https://www.northdevon.gov.uk/media/378075/bfl-bar-067-old-laundry-works-lower-raleigh-road-1-1250.pdf,ETRS89,-4.052099049,51.08866544,256380,134154,0.5,Not owned by a Public Authority,,Not permissioned,,,,,6,,,,6,12,,,"""52590 : Outline consent for residential development of 12 dwellings. Approved 16/07/13 (Lapsed permission)""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/068,,"""Former Tannery Site & Land Adjoining, 77 East Street   South Molton EX36 3DQ""",https://www.northdevon.gov.uk/media/378099/bfl-smo-068-former-tannery-site-77-east-street-south-molton-1-1250.pdf,ETRS89,-3.826859534,51.01757951,271957,125834,0.51,Not owned by a Public Authority,,Not permissioned,,,,,6,,,,6,12,,,"""Due to the current access constraints, conservation area and listing status of no. 77 East Street, it is considered that a conversion of the existing buildings is the most appropriate form of development for this site. More detailed design work will establish the overall level of development that is likely to be acceptable.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/069,,"""Former Lace Works, Derby Road   Barnstaple EX32 7HA""",https://www.northdevon.gov.uk/media/378076/bfl-bar-069-former-lace-factory-derby-road-1-1250.pdf,ETRS89,-4.055134119,51.08400743,256153,133642,1.01,Owned by a Public Authority,,Not permissioned,,,,,50,,,,50,70,,,"""Site is in close proximity to Barnstaple town centre. Development opportunities could include conversion of some of the more traditional buildings, including the Grade II listed building plus an element of demolition and rebuild of the more modern industrial buildings. Avoid development within the flood zone.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/075,,"""Riversvale, Litchdon Street   Barnstaple EX32 8LN""",https://www.northdevon.gov.uk/media/378077/bfl-bar-075-riversvale-litchdon-street-1-1250.pdf,ETRS89,-4.055970415,51.0761414,256070,132769,0.25,Not owned by a Public Authority,,Pending Decision,,,,,6,"""CONVERSION OF RIVERSVALE HOUSE INTO 6 APARTMENTS TOGETHER WITH ERECTION OF 7 TOWNHOUSES IN GROUNDS TO INCLUDE DEMOLITION OF RIVERSVALE CENTRE & ASSOCIATED HIGHWAY WORKS""",,,6,11,,,"""The site is within an extreme risk of flooding although a solution has been found in consultation with the EA that can deliver a viable development whilst avoiding flood risk and providing a means of escape. Current scheme (13 units) within application 63863 is considered too intensive and a development of around 10 or 11 units is likely to be more acceptable that will also have less impact on the listed building and conservation area.""",16/10/2017,16/10/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/076,,"""Oakwell Residential Home, Lyddicleave Bickington  Barnstaple EX31 2JZ""",https://www.northdevon.gov.uk/media/378080/bfl-fre-076-oakwell-residential-home-bickington-1-1250.pdf,ETRS89,-4.094095894,51.07188484,253386,132371,0.6,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,10/11/2017,,,21,"""ERECTION OF 21 DWELLINGS TOGETHER WITH ASSOCIATED ROADS, DRAINAGE,
GARAGES, PARKING & LANDSCAPING (AMENDED LANDSCAPING DETAILS, ECOLOGICAL
INFORMATION & SHADOW PATH SURVEY)""",,,21,,,,,13/11/2017,10/11/2017
