OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,gid,shlaareference
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR029,,"Petrol filling station, part of Beauchamp Employment Area",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR029.pdf,ETRS89,-1.674932339,52.61021942,0.26,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,08/12/2017,08/12/2017,422009.2174,301471.2936,30,536
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR030,,"Progressive Club, Halford Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR030.pdf,ETRS89,-1.697997394,52.63428272,0.09,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,behind Norris Brothers on Lichfield Street,08/12/2017,08/12/2017,420436.355,304140.9327,31,537
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR031,,Adjacent to Tame Valley Alloys,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR031.pdf,ETRS89,-1.669539115,52.60097045,0.73,not owned by a public authority,,not permissioned,,,,,26,,,,,,,,,08/12/2017,08/12/2017,422379.0869,300444.2448,32,541
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR032,,Solway Close,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR032.pdf,ETRS89,-1.70428157,52.64400486,0.78,owned by a public authority,,pending decision,,,,,20,,,,,,,,TBC owned.  In LP 25006-2031.  Planning app in with resolution to permit 0424/2015,08/12/2017,08/12/2017,420006.6732,305220.5127,33,550
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR033,,"Kettlebrook Road Industrial Estate, South",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR033.pdf,ETRS89,-1.683584329,52.62439917,1.05,not owned by a public authority,,not permissioned,,,,,30,,,,,,,,,08/12/2017,08/12/2017,421416.5016,303045.8221,34,553
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR034,,"The Winning Post Pub, Argyle Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR034.pdf,ETRS89,-1.670330445,52.63191689,0.17,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,,08/12/2017,08/12/2017,422309.7608,303885.996,35,563
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR035,,"WMC, Bowling Green Avenue",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR035.pdf,ETRS89,-1.667333827,52.60679218,0.7,not owned by a public authority,,not permissioned,,,,,20,,,,,,,,,08/12/2017,08/12/2017,422525.4436,301092.4477,36,564
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR036,,Two Gates Working Mens Club,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR036.pdf,ETRS89,-1.682404045,52.61131115,0.66,not owned by a public authority,,not permissioned,,,,,18,,,,,,,,,08/12/2017,08/12/2017,421502.8004,301590.4654,37,600
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR037,,"High Wynard, Highfield Avenue, Amington, Tamworth, B77 3JB",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR037.pdf,ETRS89,-1.659031088,52.63280817,0.19,not owned by a public authority,,permissioned,,08/02/2017,,,5,,,,,,,,0326/2016,08/12/2017,08/12/2017,423073.9521,303988.6851,38,
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR038,,"10 Colehill, Tamworth, B79 7HE",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR038.pdf,ETRS89,-1.690995159,52.63349771,0.05,not owned by a public authority,,permissioned,,22/12/2016,,,5,,,,,,,,0467/2016.  Change of use of 4 units on ground floor with A1/A2/A3/B1 use and creation of 5 residential units on first and second floors,08/12/2017,08/12/2017,420910.5656,304055.6281,39,
