OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR011,,18-18A Palace Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.121331,51.443566,0.13,not owned by a public authority,yes,permissioned,full planning permission,2017-09-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODWH22BOIPH00,,11,Redevelopment of the site involving the demolition of the existing former Care Home and erection of a 3 storey building to provide 11 residential units, ,,,,,,,2017-12-15,2017-12-25,530658,173293
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR012,,151 Palace Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.10683,51.439295,0.09,not owned by a public authority,yes,permissioned,full planning permission,2017-09-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQEK6SBOKBH00,,9,"“Demolition of the existing B1 unit and erection of a part 3 and part 4 storey building to provide a B1 unit at basement and ground level, and 9 residential dwellings above.” ","""Use Class B1a (office), 350sqm""",,,,,,,2017-12-15,2017-12-26,531678,172844
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR013,,"""Canterbury Hotel, 8 Canterbury Crescent""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.112445,51.46399,0.08,not owned by a public authority,yes,permissioned,full planning permission,2016-11-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZCSTDBO0I800,,37,Demolition of the existing public house and redevelopment to provide a mixed-use development comprising 37 residential dwellings (Use Class C3) and flexible commercial floorspace (A1/A2/A3/B1/D1) in a nine storey building.,"""Flexible A1/A2/A3/B1/D1 floorspace, 123 sqm.""",,,,,,Part of Lambeth Local Plan allocated site (Site 15),2017-12-15,2017-12-27,531217,175580
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR014,,85 Brixton Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118721,51.454909,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-06-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,,7,Erection of a six storey building including lower ground level and mansard roof to provide seven self contained flats., ,,,,,,,2017-12-15,2017-12-28,530807,174559
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR015,,Land rear of 77-79 Westow Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.079098,51.420183,0.04,not owned by a public authority,yes,permissioned,full planning permission,2015-08-03,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NP20P2BOMEG00,,8,Erection of a part two storey and part three storey building to provide 8 self-contained residential units with associated communal amenity area., ,,,,,,,2017-12-15,2017-12-29,533661,170769
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR016,,"""Rising Sun House, 133 Vauxhall Street""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.116516,51.487499,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFRL0QBOL9X00,,9,Demolition of existing building and the erection of six storey block providing a total of 15 Class C3 units., ,,,,,,,2017-12-15,2017-12-30,530867,178187
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR017,,44 Clapham Common South Side,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.138776,51.45763,1.41,not owned by a public authority,yes,pending decision,,,,,293,"“Demolition of the existing buildings and the redevelopment of the site incorporating the erection of six buildings ranging from four to 10 storeys above ground plus landscaped gardens and public square. Mixed-use scheme comprises a waste transfer facility at basement level, B1 office accommodation, A3 café and up to 297 residential units.”","""Waste transfer unit (Use Class Sui Generis, 1164 sqm); Offices (Use Class B1a, 3696 sqm) with ancillary café (117sqm).""",,,,,,,2017-12-15,2017-12-31,529406,174826
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR018,,260 Knight's Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.106338,51.423352,0.11,not owned by a public authority,,pending decision,,,,,6,"“Erection of two 3-storey terraces with basement level and roof terrace level, providing  6 dwelling houses together with an attached commercial unit to one of the terraces.”","""Use Class B1a (office), approx 130 sqm.""",,,,,,,2017-12-15,2017-12-32,531758,171072
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR019,,"""John Vetch House, Elms Road""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.141662,51.457101,0.09,not owned by a public authority,yes,pending decision,,,,,7,Demolition of the existing building and garages for the construction of a residential building with 15 dwellings with highway access and associated works, ,,,,,,,2017-12-15,2017-12-33,529207,174762
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR020,,2-7 Stockwell Green,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.119938,51.468723,0.09,not owned by a public authority,yes,pending decision,,,,,24,"“Demolition of the existing building and erection of a new building between two and six storeys in height, to provide a mixed-use scheme comprising of retail floorspace at ground floor and 24 residential units comprising of 10 x 1 bed, 10 x 2 beds and 4 x 3 beds across the development and associated landscaping.”","""Use Class A1 (retail), 129sqm.""",,,,,,,2017-12-15,2017-12-34,530683,176093
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR021,,"""Land to rear of Viking House, Denmark Road""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.098914,51.471208,0.08,not owned by a public authority,yes,pending decision,,,,,8,Erection of a 2 storey building to provide 4 x 3 bed dwelling houses and 4 x 1 bed apartments to land at the rear of Viking House., ,,,,,,,2017-12-15,2017-12-35,532136,176407
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR022,,184 Larkhall Lane,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.132815,51.470377,0.06,not owned by a public authority,yes,pending decision,,,,,14,"“Demolition of existing vacant public house and erection of a five storey (plus basement) building to provide a ground floor/basement commercial unit (Use Class A1, A2, A3 or A4) and 14 residential units above.”","""Flexible Use Class A1/A2/A3/A4 (shops/café/restaurant/public house), 336 sqm.""",,,,,,,2017-12-15,2017-12-36,529784,176254
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR023,,143-149 Railton Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.10647,51.45705,0.04,not owned by a public authority,,pending decision,,,,,10,Demolition of existing vacant health centre and erection of 3 storey building with additional mansard roof level to provide 10 self-contained flats (Use Class C3)., ,,,,,,,2017-12-15,2017-12-37,531652,174819
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR024,,2-4 Hercules Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.112791,51.498518,0.02,not owned by a public authority,yes,pending decision,,,,,6,Demolition of 2 existing properties (2 & 4 Hercules Road) and construction of eight storey development with two basement levels to create flexible retail use at ground and basement level and 8 residential dwellings above.,"""Use Classes A1/A3 (flexible retail/restaurant), 165 sqm.""",,,,,,,2017-12-15,2017-12-38,531094,179419
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR025,,Central Hill Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,0.086676,51.420577,6.86,owned by a public authority,,not permissioned,,,,,503,Redevelopment of Central Hill Estate to provide additional homes., ,,,,,,,2017-12-15,2017-12-39,533133,170799
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR026,,Cressingham Gardens,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.111573,51.446745,4.2,owned by a public authority,,not permissioned,,,,,159,Redevelopment of Cressingham Gardens Estate to provide additional homes., ,,,,,,,2017-12-15,2017-12-40,531327,173664
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR027,,Fenwick Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.127103,51.464639,3.15,owned by a public authority,,not permissioned,,,,,236,Redevelopment of Fenwick Estate to provide additional homes., ,,,,,,,2017-12-15,2017-12-41,530197,175626
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR028,,Westbury Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.141008,51.470381,2.81,owned by a public authority,,not permissioned,,,,,232,Redevelopment of Westbury Estate to provide additional homes., ,,,,,,Lambeth Housing Zone site,2017-12-15,2017-12-42,529215,176240
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR029,,Hemans Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.130305,51.478601,1.91,owned by a public authority,,not permissioned,,,,,21,Redevelopment of Hemans Estate to provide additional homes., ,,,,,,Lambeth Housing Zone site,2017-12-15,2017-12-43,529935,177173
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR030,,South Lambeth Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118092,51.477911,1.86,owned by a public authority,,not permissioned,,,,,219,Redevelopment of South Lambeth Estate to provide additional homes., ,,,,,,Lambeth Housing Zone site,2017-12-15,2017-12-44,530785,177118
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR031,,"""Tesco, 263-275 Kennington Lane""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.114947,51.486431,1.31,not owned by a public authority,,not permissioned,,,,,248,Mixed use Redevelopment to include replacement supermarket,Replacement supermarket,,,,,,,2017-12-15,2017-12-45,530979,178071
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR032,,Knight's Walk Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.106378,51.491608,0.93,owned by a public authority,,not permissioned,,,,,60,Redevelopment of Knight's Walk Estate to provide additional homes., ,,,,,,Lambeth Housing Zone site,2017-12-15,2017-12-46,531559,178662
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR033,,Pope's Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.112058,51.463606,0.47,owned by a public authority,,not permissioned,,,,,150,"""Mixed-use development with retail, commercial, community, leisure, residential and town centre car and cycle parking.""","Mixed-use development with retail, commercial, community, leisure, residential and town centre car and cycle parking.",,,,,,Part of Lambeth Local Plan allocated site (Site 15) and Lambeth Housing Zone site,2017-12-15,2017-12-47,531245,175538
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR034,,Fitch Court,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.113797,51.457393,0.34,owned by a public authority,,not permissioned,,,,,18,Redevelopment of Fitch Court to provide additional homes., ,,,,,,Lambeth Housing Zone site,2017-12-15,2017-12-48,531142,174844
