OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NewDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR023,,"""Hebble Court, Mixenden Road, Halifax""",,ETRS89,-1.90211776,53.74666671,0.48,not owned by a public authority,,not permissioned,,,,,15,,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR024,,"""Land at Titan Works, Claremount Road, Boothtown, Halifax""",,ETRS89,-1.865274005,53.73768391,0.26,not owned by a public authority,,permissioned,outline planning permission,10/04/2017,,,49,Residential development of 49 dwellings,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR025,,"""The Old Coach House, Oak Street, Elland""",,ETRS89,-1.836095685,53.68419402,0.02,not owned by a public authority,Yes,permissioned,full planning permission,05/06/2014,,,6,"Conversion to six residential studios, single storey extension to rear with access stairs to first floor",,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR026,,"""Lindwell Methodist Church, Lindwell, Halifax""",,ETRS89,-1.860738365,53.69033489,0.08,not owned by a public authority,Yes,permissioned,full planning permission,04/02/2015,,,5,Conversion of redundant chapel to five apartments,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR027,,"""Heath Bank Nursing Home, Linden Road, Halifax""",,ETRS89,-1.862949099,53.7112523,0.23,not owned by a public authority,Yes,permissioned,full planning permission,17/06/2015,,,7,Conversion of Nursing home to 7 dwellings and construction of detached dwelling. (amended design to planning approval 14/00963/CON),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR028,,"""Walsden Methodist Church, Rochdale Road, Todmorden""",,ETRS89,-2.100820972,53.69443213,0.04,not owned by a public authority,Yes,permissioned,full planning permission,20/07/2016,,,13,Conversion and alterations to derelict church to create 13 apartments.,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR029,,"""Upper floors, 20-26 Commerical Street, Halifax""",,ETRS89,-1.861307404,53.72264419,0.04,not owned by a public authority,Yes,permissioned,full planning permission,24/08/2015,,,10,Change of use of offices to two flats,,,,,,,14/56013/CLASSJ - prior approval not required - October 2014 for 8 flats. Total capacity for the site therefore 10.,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR030,,"""District Bank Chambers, George Square, Halifax""",,ETRS89,-1.861894811,53.72260084,0.03,not owned by a public authority,Yes,permissioned,other,19/11/2014,,,12,Prior approval application for a change of use from Offices (B1a) to twelve apartments (C3),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR031,,"""5 Clare Road, Halifax""",,ETRS89,-1.85873506,53.72031817,0.11,not owned by a public authority,Yes,permissioned,full planning permission,17/09/2015,,,18,Conversion of lower and ground floors from restaurant to three apartments,,,,,,,14/56019/CLASSJ Prior approval granted 100315 for COU from office to 15 apartments. Minimum net dwelling capacity based on both applications.,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR032,,"""8 Lord Street, Halifax""",,ETRS89,-1.864539104,53.7219445,0.02,not owned by a public authority,Yes,permissioned,full planning permission,16/06/2015,,,11,Conversion of Club and construction of a three-storey rear extension to create 11 bedroom House in Multiple Occupation,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR033,,"""1st, 2nd, 3rd and 4th floors, Southgate House, Wards Ends, Halifax""",,ETRS89,-1.859881416,53.72103593,0.09,not owned by a public authority,Yes,permissioned,other,27/10/2016,,,51,Prior approval application for a change of use from office (B1a) to 51 apartments (C3),,,,,,,,30/11/2017,30/11/2017
