OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,IDOX_Reference,UPRN,CoordinateReferenceSystem2,GeoX_2,GeoY_2,CoordinateReferenceSystem3,GeoX_3,GeoY_3,SCC_Ward,SCC_Regeneration,SCC_SubArea,SHLAA_CapacityApprox
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,86,,Former Easington Lane Primary School Building,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.432274,54.805212,2.95,Mixed Ownership,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,68,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf|https://www.sunderland.gov.uk/media/8694/Easington-Lane-Development-Framework-2005/pdf/Easington_Lane_Development_Framework_2005.pdf,"""Part of Easington Lane Development Framework SPD and Development Brief""",30/11/2017,30/11/2017,16/00183/SHLAA,,OSGB36,436592,545740,WGS84,-1.432274,54.805212,HETTON,Coalfield,Coalfield,75
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B091,91,"Southwick Primary School, Clarence Street",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.407579,54.920479,1.49,Owned by a public authority,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,37,,,,,,,https://www.sunderland.gov.uk/media/19095/SHLAA-Appendices-Sunderland-North/pdf/13a_SHLAA_Appendices_-_Sunderland_North.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf,,30/11/2017,30/11/2017,16/00150/SHLAA,,OSGB36,438071,558580,WGS84,-1.407579,54.920479,SOUTHWICK,Sunderland North,Sunderland North,41
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,98,,"Ayton Village Primary School, Dunlin Drive, Ayton",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.55298,54.889873,1.58,Owned by a public authority,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,39,,,,,,,https://www.sunderland.gov.uk/media/19093/SHLAA-Appendices-Washington/pdf/13a_SHLAA_Appendices_-_Washington.pdf|https://www.sunderland.gov.uk/media/19102/Strategic-Land-Review-Washington-2016-/pdf/14E_Strategic_Land_Review_Washington_(2016).pdf,"""Development Brief prepared and out to market""",30/06/2016,30/11/2017,16/00104/SHLAA,45057861,OSGB36,428773,555105,WGS84,-1.55298,54.889873,WASHINGTON SOUTH,Washington,Washington,43
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,104,,"Carley Hill School, Emsworth Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.399579,54.927575,4.2,Owned by a public authority,Yes,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,99,,,,,,,https://www.sunderland.gov.uk/media/19095/SHLAA-Appendices-Sunderland-North/pdf/13a_SHLAA_Appendices_-_Sunderland_North.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf,"""Pre-application enquiry ref. 16/01431/P1""",30/11/2017,30/11/2017,16/00153/SHLAA,,OSGB36,438577,559374,WGS84,-1.399579,54.927575,SOUTHWICK,Sunderland North,Sunderland North,110
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B106,106,"High Ford Estate, Flodden Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.431928,54.903135,1.91,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,25/10/2012,www.sunderland.gov.uk/online-applications,,74,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf,"""Permitted application ref. 11/01794/FUL - under construction""",30/11/2017,30/11/2017,16/00278/SHLAA,,OSGB36,436526,556637,WGS84,-1.431928,54.903135,PALLION,Sunderland West,Sunderland South,74
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,107,,"Pennywell Phases 2-6, Chester Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.445092,54.892781,16.72,Mixed Ownership,Yes,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,450,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf,"""Withdrawn application ref. 10/01506/FUL (withdrawn July 2010) - redevelopment of Pennywell Phase 2 for 102 dwellings""",30/11/2017,30/11/2017,16/00010/SHLAA,,OSGB36,435691,555478,WGS84,-1.445092,54.892781,ST ANNES,Sunderland West,Sunderland South,500
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,109,,Glebe Parkway,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.527058,54.898914,1.64,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,23/11/2016,www.sunderland.gov.uk/online-applications,,59,,,,,,,https://www.sunderland.gov.uk/media/19093/SHLAA-Appendices-Washington/pdf/13a_SHLAA_Appendices_-_Washington.pdf|https://www.sunderland.gov.uk/media/19102/Strategic-Land-Review-Washington-2016-/pdf/14E_Strategic_Land_Review_Washington_(2016).pdf,"""Permitted application ref. 16/01045/FUL""",30/11/2017,30/11/2017,16/00105/SHLAA,,OSGB36,430429,556122,WGS84,-1.527058,54.898914,WASHINGTON CENTRAL,Washington,Washington,59
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,110,,"Starks Builders Yard, Hunter Street",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.496998,54.862381,0.52,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,10/03/2017,www.sunderland.gov.uk/online-applications,,24,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Permitted application ref. 16/02259/FUL""",30/11/2017,30/11/2017,16/00185/SHLAA,,OSGB36,432386,552070,WGS84,-1.496998,54.862381,SHINEY ROW,Coalfield,Coalfield,24
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,112,,Site of former Broomhill Estate,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.457422,54.832565,3.9,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,19/12/2013,www.sunderland.gov.uk/online-applications,,128,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Permitted application ref. 12/03140/FUL""",30/06/2016,30/11/2017,16/00186/SHLAA,45021128,OSGB36,434952,548771,WGS84,-1.457422,54.832565,COPT HILL,Coalfield,Coalfield,128
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B147,147,"Site of Greenway House, Nookside",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.435655,54.895326,1.66,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,31/03/2017,www.sunderland.gov.uk/online-applications,,75,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf,"""Permitted application ref. 16/02081/SU4""",30/11/2017,30/11/2017,16/00011/SHLAA,,OSGB36,436294,555766,WGS84,-1.435655,54.895326,ST ANNES,Sunderland West,Sunderland South,75
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,187,,"Bonnersfield, land at - Palmers Hill Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.377329,54.911288,1.81,Not owned by a public authority,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,72,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf|https://www.sunderland.gov.uk/media/11731/SPD-Document/pdf/SPD_Document.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Part of Wearmouth Masterplan and Design Code SPD and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,16/00156/SHLAA,,OSGB36,440019,557574,WGS84,-1.377329,54.911288,ST PETERS,Sunderland North,Sunderland Central,80
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B194A,194A,"Lambton Lane, land at",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.504737,54.849984,4.63,Mixed Ownership,Yes,Pending Decision,,,www.sunderland.gov.uk/online-applications,,158,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Live application pending ref. 17/00589/FUL - proposed combined total 271 dwellings""",30/11/2017,30/11/2017,16/00206/SHLAA,,OSGB36,431899,550687,WGS84,-1.504737,54.849984,HOUGHTON,Coalfield,Coalfield,176
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B194B,194B,"Lambton Lane, land at",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.506687,54.850999,0.77,Not owned by a public authority,Yes,Pending Decision,,,www.sunderland.gov.uk/online-applications,,23,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Live application pending ref. 17/00589/FUL - proposed combined total 271 dwellings""",30/11/2017,30/11/2017,16/00206/SHLAA,,OSGB36,431773,550799,WGS84,-1.506687,54.850999,HOUGHTON,Coalfield,Coalfield,26
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B293A,293A,"Low Moorsley, land at (Ennerdale Street)",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.463323,54.81017,2.63,Not owned by a public authority,,Pending Decision,,,www.sunderland.gov.uk/online-applications,,53,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Live outline application ref. 14/01371/OUT - proposed 83 dwellings""",30/11/2017,30/11/2017,16/00213/SHLAA,,OSGB36,434592,546276,WGS84,-1.463323,54.81017,HETTON,Coalfield,Coalfield,59
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,312,,"Former Junglerama, Victoria Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.522537,54.912052,0.29,Mixed Ownership,Yes,Permissioned,Full Planning Permission,28/11/2016,www.sunderland.gov.uk/online-applications,,12,,,,,,,https://www.sunderland.gov.uk/media/19093/SHLAA-Appendices-Washington/pdf/13a_SHLAA_Appendices_-_Washington.pdf|https://www.sunderland.gov.uk/media/19102/Strategic-Land-Review-Washington-2016-/pdf/14E_Strategic_Land_Review_Washington_(2016).pdf,"""Permitted application ref. 16/00115/FU4""",30/06/2016,30/11/2017,16/00117/SHLAA,45071543,OSGB36,430709,557586,WGS84,-1.522537,54.912052,WASHINGTON NORTH,Washington,Washington,12
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B328A,328A,Hetton Downs Phase 2,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.447475,54.830192,0.45,Mixed Ownership,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,16,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Development Brief Area Action Plan prepared""",30/11/2017,30/11/2017,16/00216/SHLAA,,OSGB36,435593,548512,WGS84,-1.447475,54.830192,COPT HILL,Coalfield,Coalfield,18
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B328B,328B,Hetton Downs Phase 2,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.447512,54.826364,3.31,Owned by a public authority,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,90,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Development Brief Area Action Plan prepared""",30/11/2017,30/11/2017,16/00216/SHLAA,,OSGB36,435594,548086,WGS84,-1.447512,54.826364,COPT HILL,Coalfield,Coalfield,100
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B330A,330A,Philadelphia Complex,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.478291,54.864495,17.29,Not owned by a public authority,Yes,Permissioned,Other,10/06/2016,www.sunderland.gov.uk/online-applications,,378,,,,,,,https://www.sunderland.gov.uk/media/19092/SHLAA-Appendices-Coalfields/pdf/13a_SHLAA_Appendices_-_Coalfields.pdf|https://www.sunderland.gov.uk/media/19100/Strategic-Land-Review-Coalfield-2016-/pdf/14A_Strategic_Land_Review_Coalfield_(2016)1.pdf,"""Permitted hybrid application ref. 14/00538/HYB - mixed-use development with Outline Planning Permission for up to 500 dwellings overall""",30/06/2016,30/11/2017,16/00217/SHLAA,45130692,OSGB36,433585,552314,WGS84,-1.478291,54.864495,SHINEY ROW,Coalfield,Coalfield,378
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B380,380,"Grangetown Autos and land to the South, East side of Ryhope Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.359341,54.876147,0.26,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,08/08/2016,www.sunderland.gov.uk/online-applications,,10,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19101/Strategic-Land-Review-East-2016-/pdf/14D_Strategic_Land_Review_East_(2016).pdf,"""Permitted outline application ref. 15/01629/OUT, with live application pending ref. 17/00386/FUL for 48 units on land to the north""",30/11/2017,30/11/2017,16/00075/SHLAA,,OSGB36,441208,553674,WGS84,-1.359341,54.876147,RYHOPE,Sunderland East,Sunderland South,11
