OrganisationURI,OrganisationLabel ,SiteReference ,PreviouslyPartOf ,SiteNameAddress ,SiteplanURL,CoordinateReferenceSystem ,GeoX,GeoY,Hectares ,OwnershipStatus ,Deliverable ,PlanningStatus ,PermissionType ,PermissionDate ,PlanningHistory ,ProposedForPIP,MinNetDwellings ,DevelopmentDescription ,NonHousingDevelopment ,Part2 ,NetDwellingsRangeFrom ,NetDwellingsRangeTo ,HazardousSubstances ,SiteInformation ,Notes ,FirstAddedDate,LastUpdatedDate ,Easting ,Northings
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3179,,"""Ovenhouse Farm, Henshall Road, Bollington""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.291733,-2.114467,0.27,not owned by a public authority,Yes ,permissioned,outline planning permission ,2014-08-11,"http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=13/2655M&query=45a6b7e8-5817-4690-a769-dd992b5bbf06
",,6,Erection of 6 dwellings,,,,,,,"13/2655M
",2017-10-19,2017-10-19,392467,377201
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3180,,"""Land at Hurst Lane, Bollington""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.297453,-2.100919,0.30,mixed ownership ,Yes ,permissioned,full planning permission,2016-06-03,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3461M&query=f77ef386-2b63-47de-9c80-97c3248d14f1,,7,Residential development comprising erection of seven dwellings with associated works,,,,,,,"15/3461M
",2017-10-19,2017-10-19,393371,377836
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3268,,"""Rieter Scragg/Langley Works, Langley Road, Langley""  ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.239601,-2.091581,5.39,not owned by a public authority,Yes ,permissioned,outline planning permission ,2015-01-30,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=11/2340M&query=eb71009d-7de2-4e2c-993b-8bb49fd4fd12,,77,"""Redevelopment of site for a mixed use, comprising residential development (Maximum 77 dwellings), Class B1 office/light industrial units, (Maximum 836sqm gross), Public Open Space and New Footpath links""","Class B1 office/light industrial units, (Maximum 836sqm gross)",,,,,,"11/2340M
",2017-10-19,2017-10-19,393985,371399
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3361,,"""Adlington Road Business Park, Adlington Road, Bollington""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.298645,-2.105573,0.33,mixed ownership ,Yes ,permissioned,full planning permission,2016-06-14,"http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=12/4340M&query=42ad7792-0c2a-4cbd-83c0-c56c3196289a
",,7,"""Demolition of existing industrial sheds and garages and erection of 6no. 3 bed and 1no. 4 bed houses""",,,,,,,"12/4340M

",2017-10-19,2017-10-19,393061,377969
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3985,,"""1- 7, Colehill Bank and 16 Canal Street, Congleton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.162146,-2.210023,0.02,not owned by a public authority,Yes ,permissioned,full planning permission,2014-05-22,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/1864C&query=4d1a1bc5-71af-494e-acd5-e0ff7bc97b1a,,6,Conversion of commercial building into 6 two-bedroom apartments,,,,,,,"14/1864C
",2017-10-19,2017-10-19,386055,362799
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4225,,"""Land at Gutterscroft, Haslington""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.102061,-2.394605,0.17,not owned by a public authority,Yes ,permissioned,full planning permission,2014-12-23,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/2648N&query=18cfe08f-caa6-46fa-ba81-3ed8536a2e10,,5,"""Residential development of 13 two storey houses, 6 one bed apartments, associated roads and garages""",,,,,,,"
14/2648N
",2017-10-19,2017-10-19,373677,356167
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4302,,"""The Kings School,  Westminster Road, Macclesfield"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.263861,-2.130567,0.85,not owned by a public authority ,Yes ,permissioned,outline planning permission ,2017-01-23,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/4285M&query=6c85103f-a904-4faa-b812-fd53f528dcff,,38,"""Demolition of existing buildings and structures, residential development up to 150 units, landscaping, supporting infrastructure and access""",,,,,,,"
15/4285M 
",2017-10-19,2017-10-19,391388,374102
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4496,,"""Leonard Cheshire Home, The Hill, Sandbach""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.140274,-2.348523,0.32,not owned by a public authority,Yes ,permissioned,full planning permission,2015-04-10,"http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/3215C&query=558303ab-a861-44d0-84fa-3c103aa0c205

",,12,"""The conversion of the existing listed building into 12 no. 1,2 and 3 bed apartments with associated parking and landscaping. Demolition of the newer build elements to the north and west elevations""",,,,,,,"14/3215C


",2017-10-19,2017-10-19,376783,360402
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4849,,"""Former Danebridge Mill, Mill Street, Congleton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.166383,-2.213633,0.23,not owned by a public authority,Yes ,permissioned,outline planning permission ,2014-04-08,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=13/1246C&query=18194a0f-495e-427d-8845-41e09e43f8dd,,14,"""Erection of 14 residential units, ranging from 2-2.5 storeys, 2-4 bedroom housing, with undercroft carparking""",,,,,,,"13/1246C
",2017-10-19,2017-10-19,385815,363271
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4924,,"""Land at Langley Mill, Langley Road, Langley""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.240922,-2.092063,0.12,not owned by a public authority,Yes ,permissioned,full planning permission,2016-01-05,"http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/4846M&query=10bfb1fd-d179-4ff4-be4e-5413550a5646
",,5,"""Part demolition and conversion of Langley Mill to provide 5 dwellings, together with site access and general improvement works""",,,,,,,"15/4846M
",2017-10-19,2017-10-19,393953,371546
