OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Achievable comment (Reg 4 (1)(d)),Available comment (Reg 4 (1)(c)),Suitable comment (Reg 4 (1)(b))
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,EY054,,"""Ace Case Ltd, Pennine House, New Road, Earby""",http://www.pendle.gov.uk/downloads/file/10008/site_plan_ey054_-_ace_case_ltd_pennine_house_new_road_earby,WGS84,-2.14397,53.9151,0.06,not owned by a public authority,yes,permissioned,full planning permission,2016-02-09,https://publicaccess.pendle.gov.uk/online-applications/,,5,Full: Demolition of Pennine House and erection of five houses and on-site parking (Re-Submission).,,,,,,,No work has commenced at this site. No Building Control records available for this development. Owner did not return the Housing Land Survey form. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,FO034,,"""Weston Electrical Units Ltd, County Brook Lane, Foulridge""",http://www.pendle.gov.uk/downloads/file/10009/site_plan_fo034_-_weston_electrical_units_ltd_county_brook_lane_foulridge,WGS84,-2.17236,53.8774,0.99,not owned by a public authority,yes,permissioned,full planning permission,2015-07-10,https://publicaccess.pendle.gov.uk/online-applications/,,22,"Full: Major: Demolition of commercial buildings, erection of twenty two dwelling houses (3 terraced, 16 semis and 3  detached) accessed off Station Road and Whitemoor Lane including estate roads.",,,,,,,Work has not started at this site. No Building Control records available. Owner has returned the Housing Land Survey form indicating that the site is still available for development but has not provided timescales for work to start. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NH008,,"""Former Spen Brook Mill, Spen Brook Road, Spen Brook""",http://www.pendle.gov.uk/downloads/file/10010/site_plan_nh008_-_former_spen_brook_mill_spen_brook_road_spen_brook,WGS84,-2.26819,53.8454,1.98,not owned by a public authority,yes,permissioned,full planning permission,2015-04-02,https://publicaccess.pendle.gov.uk/online-applications/,,28,"Full: Major: Demolition of industrial buildings, conversion of Spenbrook Mill to 10 No. residential units and erection of 18 No. residential units with associated landscaping, access, car parking and associated works.",,,,,,,Development at the site has not yet started. This site is a major development and a site specific viability appraisal was carried out as part of the planning application process. This appraisal indicated that the development of the site is viable. No Building Control records available. Owner did not return the Housing Land Survey form. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN103,,"""Marsden Hall Farm, Walton Lane, Nelson""",http://www.pendle.gov.uk/downloads/file/10011/site_plan_nn103_-_marsden_hall_farm_walton_lane_nelson,WGS84,-2.18521,53.8391,0.3,not owned by a public authority,yes,permissioned,full planning permission,2015-01-06,https://publicaccess.pendle.gov.uk/online-applications/,,8,Full: Major: Demolition of barn and green houses; erection of 8 no. dwellings; alterations to Marsden Park Cottage; part demolition and erection of two storey side extension to Farm Cottage; and alterations to perimeter wall.,,,,,,,Work has not started at this site - Outline permission only. A Reserved Matters application has not been submitted. No Building Control records available. Owner did not return the Housing Land Survey form.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN124,,"""Barkerhouse Road Day Nursery, Barkerhouse Road, Nelson""",http://www.pendle.gov.uk/downloads/file/10012/site_plan_nn124_-_barkerhouse_road_day_nursery_barkerhouse_road_nelson,WGS84,-2.19757,53.8355,0.32,not owned by a public authority,yes,permissioned,outline planning permission,2014-12-03,https://publicaccess.pendle.gov.uk/online-applications/,,12,Outline: Major: Residential development for twelve dwelling house (Access and Layout only) and demolition of existing nursery building.,,,,,,,Development at this site has not started - Outline permission only. A Reserved Matters application has not been submitted. The planning permission is due to expire in December 2017. No Building Control records available. Unclear as to whether the site will come forward. Retain in five year supply until end of 2017/18. The agent for the owner has moved away. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN127,,"""6-18 Scotland Road and 7-17 Leeds Road, Nelson""",http://www.pendle.gov.uk/downloads/file/10013/site_plan_nn127_-_6-8_scotland_road_and_7-17_leeds_road_nelson,WGS84,-2.21423,53.8371,0.07,not owned by a public authority,yes,permissioned,full planning permission,2014-06-18,https://publicaccess.pendle.gov.uk/online-applications/,,12,"Full: Demolition of 11 Leeds Road, conversion and extension at 7-9 Leeds Road to form 9 flats and external alterations to 9-17 Leeds Road and 6-18 Scotland Road including access ramp and new shop fronts.",,,,,,,"Development at this site has not started. However, Building Control records indicate that some work has been carried out. Owner did not return the Housing Land Survey form.",2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN128,,"""Land adjacent to Ambulance Station, Rakeshouse Road, Nelson""",http://www.pendle.gov.uk/downloads/file/10014/site_plan_nn128_-_land_adjacent_to_ambulance_station_rakeshouse_road_nelson,WGS84,-2.20366,53.8445,0.09,not owned by a public authority,yes,permissioned,outline planning permission,2014-07-01,https://publicaccess.pendle.gov.uk/online-applications/,,8,"Full: Erection of 8 apartments in two, 2 storey blocks with associated car parking and landscaping.",,,,,,,Development at this site has not started. A new planning application was approved in April 2017. No Building Control records available. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN135,,"""Reedyford Mill, Pendle Street, Nelson""",http://www.pendle.gov.uk/downloads/file/10015/site_plan_nn135_-_reedyford_mill_pendle_street_nelson,WGS84,-2.21875,53.8412,1.42,not owned by a public authority,,permissioned,outline planning permission,2015-06-23,https://publicaccess.pendle.gov.uk/online-applications/,,65,"Outline: Major: (Access only): Erection of 65 dwellings with access from Pendle Street, Erection of 2040 Sq.m of commercial floor space (B1(c), B2 and B8 use) with access off Westfield, Full: Erection of petrol filling station (Sui Generis) 472 Sq.m.",,,,,,,Development has not yet started at this site - Outline permission only. A Reserved Matters application has not yet been submitted. No Building Control records available. The owner has returned the Housing Land Survey form indicating that the development is likely to take place in 6-10 years. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN143,,"""Nelson Discount Furniture, Cooper Street, Nelson""",http://www.pendle.gov.uk/downloads/file/10016/site_plan_nn143_-_nelson_discount_furniture_cooper_street_nelson,WGS84,-2.21316,53.8405,0.04,not owned by a public authority,yes,permissioned,full planning permission,2015-12-23,https://publicaccess.pendle.gov.uk/online-applications/,,5,Full: Conversion and partial demolition of existing building to create 5 dwellings with associated external alterations,,,,,,,Work has not started at this site. No Building Control records available. Owner did not return the Housing Land Survey form. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,NN154,,"""68-70 Manchester Road, Nelson""",http://www.pendle.gov.uk/downloads/file/10017/site_plan_nn154_-_68-70_manchester_road_nelson,WGS84,-2.21759,53.8355,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-02-10,https://publicaccess.pendle.gov.uk/online-applications/,,8,Full: Conversion of HMO to 8 self-contained flats and insertion of two window openings to first and second floors at side.,,,,,,,Work has not started at this site. A Building Control application for the proposal was refused. Owner did not return the Housing Land Survey form.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P022,,"""Walk Mill, Green Road / Spring Gardens Road, Colne""",http://www.pendle.gov.uk/downloads/file/10018/site_plan_p022_-_walk_mill_green_road_spring_gardens_road_colne,WGS84,-2.174334,53.85332,2.29,not owned by a public authority,,not permissioned,,,,,101,,,,101,120,,,The Council's viability model suggests that this type of site is unlikely to be viable to develop. The owners of the site are consolidating their premises and have indicated their intention to release the site for housing. The current economic circumstances are restricting the progress of this scheme. There is no up-to-date information available as to the current intentions of the owner to bring the site forward. The site could come forward in the 11-15 year period.  ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owners of the site have previously indicated that they would consider developing the site for housing.""","""Yes - in the opinion of the local authority the site could be appropriate for residential development. The site was previously identified in the South Valley Area Action Plan for housing."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P023,,"""Spring Gardens Mill, Green Road, Colne""",http://www.pendle.gov.uk/downloads/file/10019/site_plan_p023_-_spring_gardens_mill_green_road_colne,WGS84,-2.17076,53.852529,2.88,not owned by a public authority,,not permissioned,,,,,124,,,,124,207,,,"The Council's viability model suggests that this type of site is unlikely to be viable to develop. The owners of the site are consolidating their premises and have indicated their intention to release the site for housing. The mill building has now been demolished. The current economic circumstances are restricting the progress of this scheme. The owner has returned the Housing Land Survey form indicating that the site is still available. However, there have been some discussions as to whether the site could be developed for an alternative use (e.g. employment). The site could come forward within the 6-15 year period. ",2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owners of the site have previously indicated that they would consider developing the site for housing."" ","""Yes - in the opinion of the local authority the site could be appropriate for residential development. Tge site was previously identified in the South Valley Area Action Plan for housing."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P026,,"""Riverside Mill, Charles Street, Nelson""",http://www.pendle.gov.uk/downloads/file/10020/site_plan_p026_-_riverside_mill_charles_street_nelson,WGS84,-2.21056,53.8424,2.56,not owned by a public authority,yes,not permissioned,,,,,100,,,,100,102,,,The Council's viability model suggests that this type of site is unlikely to be viable to develop. The site is allocated for housing in the Bradley Area Action Plan. The owners have indicated that the availability of finance is the key issue affecting the delivery of this site. The site is currently for sale and it is unclear whether the new owner will pursue a housing development at the site. There have been discussion as to whether the site could be developed for alternative uses (e.g. employment). The site could come forward towards the end of the 5 year period. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the site is for sale and being marketed for development.""","""Yes - the site has been allocated in a local development document for residential development."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P052,,"""Former Railway Sidings, Clitheroe Road, Brierfield""",http://www.pendle.gov.uk/downloads/file/10021/site_plan_p052_-_former_railway_sidings_clitheroe_road_brierfield,WGS84,-2.23737,53.8221,1.59,not owned by a public authority,yes,not permissioned,,,,,60,,,,60,64,,,The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site was identified in the Railway Street SPD as a key regeneration site in Brierfield. The site is partially in commercial use and the economic circumstances are restricting the site from coming forward. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 1 year. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - in the opinion of the local authority the site is suitable for residential development. The site has been previously identified in the Railway Street Neighbourhood SPD as a possible housing site."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P053,,"""Green Works, Knotts Lane, Colne""",http://www.pendle.gov.uk/downloads/file/10022/site_plan_p053_-_green_works_knotts_lane_colne,WGS84,-2.1786,53.8524,0.29,not owned by a public authority,yes,not permissioned,,,,,9,,,,9,26,,,The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site has a number of contamination issues that need to be resolved before development can be undertaken. The owner of the site has previously indicated that the current economic circumstances are having an impact on development timescales. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 2-5 years. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - in the opinion of the local authority the site is suitable for residential development provided that any contamination issues can be resolved."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P064,,"""Brook Shed, New Road, Earby""",http://www.pendle.gov.uk/downloads/file/10023/site_plan_p064_-_brook_shed_new_road_earby,WGS84,-2.143212,53.913931,1.35,not owned by a public authority,,not permissioned,,,,,40,,,,40,65,,,The Council's viability model indicates that this type of site is viable to develop. This site was previously submitted to the call for sites consultation with the owner indicating an intention to develop it for housing. Pre-application discussions have previously taken place regarding the potential redevelopment of the site for housing. The owner has not returned the Housing Land Survey form.  ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the site has previously been put forward for housing development."" ","""Yes - in the opinion of the local authority the site is suitable for residential development."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P077,,"""Gisburn Street Works, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/10024/site_plan_p077_-_gisburn_street_works_barnoldswick,WGS84,-2.18841,53.9208,0.09,not owned by a public authority,yes,not permissioned,,,,,3,,,,3,8,,,The Council's viability model indicates that this type of site is viable to develop. This site is currently in employment use and there may be competing uses for the site. The site is located in a mainly residential area. The owner has returned the Housing Land Survey form indicating their intention to bring the site forward within 2-5 years.  ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - in the opinion of the local authority residential development would be appropriate at this site. It is surrounded by residential properties and there would be limited impact on the amenity of surrounding uses or the new development."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P090,,"""Black Carr Mill, Skipton Road, Trawden""",http://www.pendle.gov.uk/downloads/file/10025/site_plan_p090_-_black_carr_mill_skipton_road_trawden,WGS84,-2.13589,53.8476,0.72,not owned by a public authority,yes,pending decision,,,,,15,,,,15,29,,,This site is located within the village of Trawden. The site is also within Flood Zones 2&3. A flood risk assessment would be required as part of any planning application that is submitted setting out appropriate mitigation. The site is currently in use. The owner has returned the Housing Land Survey form indicating that the site is available for development and could come forward within 1 year.  ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the site.""","""Yes - the site has been proposed for allocation in the Trawden Forest Neighbourhood Plan."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P097,,"""Brierfield Mills, Glen Way, Brierfield""",http://www.pendle.gov.uk/downloads/file/10026/site_plan_p097_-_brierfield_mills_glen_way_brierfield,WGS84,-2.23746,53.825,3.04,owned by a public authority,yes,pending decision,,,,,52,,,,52,52,,,This building is within the urban area of Brierfield. The Council own the building and with its development partner are progressing its regeneration. The Council's viability model suggests that this type of site is unlikely to be viable to develop. There is potential for part of the building to be converted into residential accommodation and plans are progressing with the specific details of the conversion. There is a planning application pending on the site for the conversion to 52 apartments.  ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - in the opinion of the local authority the site is appropriate for residential development. (Planning application pending)."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P167,,"""Land at Bright Street, Colne""",http://www.pendle.gov.uk/downloads/file/10027/site_plan_p167_-_land_at_bright_street_colne,WGS84,-2.17152,53.8581,0.29,owned by a public authority,yes,not permissioned,,,,,6,,,,6,12,,,"This site is within the Settlement Boundary for Colne. The site was cleared as part of the Housing Market Renewal Initiative, however, no new development has yet taken place on the site. The Council's viability model suggests that this type of site is unlikely to be viable to develop. This site is owned by Pendle Borough Council. The Council and its development partner are looking at bringing this site forward in the future once a viable scheme can be prepared. ",2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the site is owned by Pendle Council and work with its development partner is being carried out to prepare a viable scheme for the site."" ","""Yes - in the opinion of the local authority residential development would be appropriate at this site. It is surrounded by residential properties and there would be limited impact on the amenity of surrounding uses or the new development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P211,,"""Land off Fry Street, Nelson""",http://www.pendle.gov.uk/downloads/file/10028/site_plan_p211_-_land_off_fry_street_nelson,WGS84,-2.19914,53.8373,0.42,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,30,,,"This is a vacant, former horticultural nursery site in Nelson.  The Council's viability model suggests that this type of site is unlikely to be viable to develop. The site has been actively marketed and a planning application has recently been submitted but has since been withdrawn. The owner has returned the Housing Land Survey form indicating that the site is available and development could come forward within 1 year. ",2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - in the opinion of the local authority residential development would be appropriate at this site."" "
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P257,,"""Land at Giles Street, Nelson""",http://www.pendle.gov.uk/downloads/file/10029/site_plan_p257_-_land_at_giles_street_nelson,WGS84,-2.20968,53.8396,0.93,owned by a public authority,yes,not permissioned,,,,,35,,,,35,37,,,This is a cleared housing site in Nelson. The site has been allocated for housing development in the Bradley Area Action Plan. The site is owned by Pendle Borough Council and is likely to be developed by the Council's development partner. New site specific viability work will be carried out as part the development scheme for the site. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - the site has been allocated in a local development document for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,P267,,"""Former LCC Depot, Halifax Road, Brierfield""",http://www.pendle.gov.uk/downloads/file/10030/site_plan_p267_-_former_lcc_depot_halifax_road_brierfield,WGS84,-2.22734,53.8247,0.25,not owned by a public authority,yes,not permissioned,,,,,9,,,,9,10,,,This is a former depot site in Brierfield. The previous Outline planning permission has now expired. The site has been marketed for residential development.  The site has been submitted to the Council's call for sites consultation and there may be interest in bringing the site forward in the future. The owner of the site has not returned the Housing Land Survey form and it is unclear when the site will come forward. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land. However, current intentions are unclear. The site is still available for residential development.""","""Yes - in the opinion of the local authority residential development would be appropriate at this site. It is surrounded by residential properties and there would be limited impact on the amenity of surrounding uses or the new development."""
