ORGANISATION URL,ORGANISATION LABEL,SITE REFERENCE,PREVIOUSLY PART OF,SITE NAME ADDRESS,SITE PLAN URL,COORDINATE REFERENCE SYSTEM,GEOX,GEOY,HECTARES,OWNERSHIP STATUS,DELIVERABLE,PLANNING STATUS,PERMISSION TYPE,PERMISSION DATE,PLANNING HISTORY,PROPOSED FOR PIP,MIN NET DWELLINGS,DEVELOPMENT DESCRIPTION,NON HOUSING DEVELOPMENT,PART 2,NET DWELLINGS RANGE FROM,NET DWELLINGS RANGE TO,HAZARDOUS SUBSTANCES,SITE INFORMATION,NOTES,FIRST ADDED DATE,LAST UPDATED DATE,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2008/0551,,130 Cazenove Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534352&lat=186981,ETRS8,-0.06299547,51.56571002,0.07,unknown,,not permissioned,lapsed permission,06/03/2010,,,5,"Demolition of existing two storey, five bedroom, end terrace house; erection of replacement two storey plus loft and basement building to provide 229 sqm of office space at basement level with the provision of five self-contained flats above (comprising","B1 office at basement level, 229sqm",,,,,,,31/12/2017,,534352,186981
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2008/1262,,1A West Bank,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533274&lat=187892,ETRS8,-0.078194963,51.57415333,0.06,unknown,,not permissioned,lapsed permission,25/11/2008,,,8,"Demolition  of existing two storey house and the erection of a three storey plus basement building (front) and a single storey plus basement building (rear) to provide eight residential units (comprising one x 3 bed duplex, one x 3 bed flat, 4 x 2 bed f",,,,,,,,31/12/2017,,533274,187892
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2009/2093,,325 Lordship Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532635&lat=187307,ETRS8,-0.087630725,51.56905383,0.07,unknown,,not permissioned,lapsed permission,30/03/2012,,,22,"Erection of part 8, part 9, part 10 storey building to provide 22 residential units (4x1, 15x2 and 3x4 bed) and associated landscaping, car parking and cycle parking.",,,,,,,,31/12/2017,,532635,187307
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/1347,,Former Frampton Arms and land adjacent to Sherard and Catesby House 47 Well Street,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535264&lat=184257,ETRS8,-0.050886169,51.54101859,0.29,unknown,,permissioned,full planning permission,03/10/2017,,,20,"Erection of three 5 storey buildings to create 20 self contained dwellings (6 x 1 bed, 7 x 2 bed and 7 x 3 bed); refuse and recycling facilities; cycle storage; and landscaping works including the re-landscaping of the existing courtyard and parking are",,,,,,,,31/12/2017,,535264,184257
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,SALP270,,"SALP270 - Rose Lipman Centre, Downham Road",https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533106&lat=183948,ETRS8,-0.082104633,51.5387567,0.74,unknown,,not permissioned,,,,,226,,,,226,226,,,,31/12/2017,,533106,183948
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,HCAAP - A4,,Bus Depot Hackney Central,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535099&lat=184990,ETRS8,-0.052982824,51.54764646,0.8,Mixed ownership,,not permissioned,,,,,142,,,,142,142,,,,31/12/2017,,535099,184990
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2013/3223,,"Woodberry Down Estate, Phases 2 - 8, 307 Seven Sisters Road",https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532451&lat=187745,ETRS8,-0.090122651,51.57302871,0.47,Public authority,,permissioned,outline planning permission,20/08/2014,,,2696,"Outline planning permission (all matters reserved) for demolition of existing buildings and structures at Woodberry Down Estate to provide up to 275,604sqm floorspace GEA (excluding car parking); comprising up to 3,242 residential units and a maximum of 10,921sqm non-residential floorspace within Classes A1 (Retail), A2 (Financial Services), A3 (Restaurants and Cafes),  A4 (Drinking Establishments), Class B1 (Offices), Class D1(Non Residential Institutions), and D2 use and Energy Centres; along with provision of new open space and public realm and associated car parking and highway improvement works to Seven Sisters Road including a narrowing from six carriageways to four carriageways. Full details submitted for the redevelopment of the land bounded by Towncourt Path, Kayani Avenue, Green Lanes, West Reservoir/Springpark Drive and Woodberry Down (Phase 2) for the erection of four buildings between 3 and 20 storeys to provide 670 new homes (comprising 30 studios, 310 one bed, 271 two bed and 59 three bed units), 550sqm of non residential floorspace GEA within Classes A1-A4, Class B1, Class D1 and D2 use and new open space and public realm with 241 car parking spaces and 740 cycle spaces at ground and basement level.","A1-A4, 5460sqm, B1 office, 1365sqm, D1, 1365sqm, D2, 1365sqm, SG, 1365sqm",,2696,2696,,,,31/12/2017,,532451,187745
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2013/0502,,5-9 Yorkton Street London E2 8NH,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534028&lat=183159,ETRS8,-0.069114056,51.53144072,0.31,unknown,,not permissioned,,,,,20,"Demolition of existing buildings and erection of a part single, part three, part four, part five storey building to provide 637sqm of commercial (use class B1) floorspace and 20 self contained residential units (use class C3) comprising 6 x 1 bed units, 9 x 2 bed units, 2 x 3 bed unit and 3 x 4 bed units. ",B1 office 637sqm,,20,20,,,,31/12/2017,,534028,183159
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,SALP223,,SAP223 - 27-37 Well Street London,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535061&lat=184202,ETRS8,-0.053842701,51.5405674,0.43,unknown,,not permissioned,,,,,44,,,,44,44,,,,31/12/2017,,535061,184202
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,SALP84,,SALP84 - 337 Kingsland Road and Adjacent Car Park,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533450&lat=184103,ETRS8,-0.077090795,51.54006477,0.25,unknown,,not permissioned,,,,,64,,,,64,74,,,,31/12/2017,,533450,184103
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2012/2828,,19-29 de Beauvoir Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533129&lat=183943,ETRS8,-0.081782767,51.53869972,0.068,unknown,,not permissioned,lapsed permission,,,,33,"Demolition of existing buildings and erection of a part 4-, part 9-storey building to provide 462 sq.m of Retail (Use Class A1) floorspace at ground and basement floor, and 33 self-contained residential units (2 x 1-bedroom, 20 x 2-bedroom, and 11 x 3-bedroom)  to the upper floors together with the formation of roof terraces and balconies, disabled car parking, secure cycle spaces, refuse/recycling storage and, hard and soft landscaping","A1 Retail at ground floor and basement, 429sqm",,,,,,,31/12/2017,,533129,183943
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2015/1612,,Morpeth Road garages,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535586&lat=183709,ETRS8,-0.046459789,51.53601355,0.169,unknown,,permissioned,full planning permission,09/02/2015,,,12,"Demolition of existing single storey garage structures and erection of 12 one and two storey houses (6x1 bed, 3x2 bed and 3 x 3 bed) together with 4 car parking spaces, cycle parking, refuse/recycling storage and landscaping.",,,,,,,,31/12/2017,,535586,183709
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0332,,18 Rossendale Street,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534586&lat=186720,ETRS8,-0.059724357,51.5633127,0.066,unknown,,permissioned,full planning permission,13/06/2016,,,24,"Demolition of existing commercial buildings and erection of 2 six storey buildings to provide 24 flats (7 x three bedroom, 11 x two bedroom and 6 x one bedroom) and 101 m2 of business space (Use Class B1) together with cycle and refuse stores, 2 accessible car parking spaces and associated landscaping.","B1 office, 101sqm",,,,,,,31/12/2017,,534586,186720
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/2129,,47 Lea Bridge Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535012&lat=186268,ETRS8,-0.053757855,51.55914392,0.172,unknown,,permissioned,full planning permission,31/03/2015,,,20,"Erection of a six storey building to provide 20 new residential dwellings comprising a mix of 7x1bed, 9x2bed and 4x3bed units, removal of existing trees on site, landscaping and associated works. ",,,20,20,,,,31/12/2017,,535012,186268
