OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPiP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReference,AlternativeReference
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0047,,"""Kelting House, Southernhay, Basildon, Essex. SS14 1EQ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7776&p=0,WGS84,0.462567,51.569027,0.11,not owned by a public authority,yes,permissioned,other,03/07/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,50,"""Prior notification for the proposed change of use from office to residential, providing 25 one bedroom and 25 two bedroom flats.""",,,50,50,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Prior approval granted, works have commenced. Only to be removed once completed. Deliverable within 3 years. 20/09/17.""",20/09/2017,20/09/2017,15/00641/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0048,,"""21 Cavell Road, Billericay, Essex. CM11 2HR""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7777&p=0,WGS84,0.432995,51.624071,0.07,not owned by a public authority,yes,permissioned,full planning permission,09/10/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Conversion of 21 and 23 Cavell Road into 6 no. residential flats with the addition of a single-storey rear extension, open porches to entrance doors and alterations to provide 9 no. parking spaces within the site.""",,,6,6,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, works have not started. Only to be removed once completed or expired 10/09/2018. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,15/00731/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0049,,"""Raybourne Cottage, Rectory Road, Billericay, Essex. CM12 9UA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7778&p=0,WGS84,0.410785,51.591848,0.6,not owned by a public authority,yes,permissioned,full planning permission,19/05/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,1,"""Proposed works and extension to Raybourne Cottage together with the construction of one no. new, detached dwelling and two no. detached cartlodges.""",,,1,1,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, expires 19/05/2019. Only to be removed once expired or completed. Deliverable within 1 year. 06/09/17.""",06/09/2017,06/09/2017,15/01024/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0050,,"""Willowdale Centre, High Street, Wickford, Essex. SS12 0RA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7779&p=0,WGS84,0.519989,51.613367,0.02,not owned by a public authority,yes,permissioned,full planning permission,18/11/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,"""Change of use of existing vacant first-floor offices, together with a first-floor extension and new second floor, to create 4 no. one-bedroom and 3 no. two-bedroom residential flats with associated refuse and cycle storage, with existing ground floor retail units retained.""",,,7,7,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, works have not started. Only to be removed once completed or expired 18/11/2018. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,15/01028/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0051,,"""78 High Street, Billericay, Essex. CM12 9BT""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7780&p=0,WGS84,0.417832,51.62504,0.08,not owned by a public authority,yes,permissioned,full planning permission,12/04/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Demolition of shop and office premises and construction of two storey building with accommodation in roof space (3 floors), incorporating a retail unit (Class A1 use) to ground floor and 3 residential flats above. Demolition of outbuilding and construction of detached two storey building within rear courtyard to create 2 further residential flats, with associated parking and landscaping. (76-78 High Street).""",,,5,5,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, expires 12/04/2019. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,16/00005/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0052,,"""Diamond (Mechanical & Electrical) Engineering Services, Elm Court, Southend Road, Wickford, Essex. SS11 8DU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7781&p=0,WGS84,0.529466,51.612615,0.16,not owned by a public authority,yes,permissioned,outline planning permission,19/07/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,8,"""Re-development of site to provide 8 no. 1 bedroom duplex apartments.""",,,8,8,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Outline Permission granted, expires 19/07/2019. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,16/00348/OUT,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0053,,"""Independant House, Radford Business Centre, Radford Way, Billericay, Essex. CM12 0BZ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7782&p=0,WGS84,0.410477,51.631559,0.03,not owned by a public authority,yes,permissioned,other,15/07/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,9,"""Notification for prior approval for a proposed change of use of a building from Office Use (Class B1(a)) to a Dwellinghouse (Class C3) 6 x no. 1 bedroom units and 3 x no 2 bedroom units.""",,,9,9,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Prior approval granted, works have not commenced. Only to be removed once completed or expired 15/07/2021. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,16/00712/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0054,,"""Craylands Estates And Former Fryerns School Site, Craylands, Basildon, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7783&p=0,WGS84,0.490931,51.577062,35.51,not owned by a public authority,yes,permissioned,outline planning permission,22/03/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,587,"""Re-development to provide up to 587 dwellings and  5,424 sqm of commercial floorspace with associated means of access, car parking, landscaping and other associated works and improvements.""",,,587,587,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Outline Permission granted, expires 22/03/2020. Works not started. Reserved matters for part approved 21/07/2017. Only to be removed once expired or completed. Deliverable within 9 years. 8.1ha of total is greenfield land. Loss of net dwellings through demolitions has not been included. 21/09/17.""",21/09/2017,21/09/2017,16/00898/OUT,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0055,,"""7 - 8 Willowdale Centre, High Street, Wickford, Essex. SS12 0RA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7784&p=0,WGS84,0.520029,51.613573,0.06,not owned by a public authority,yes,permissioned,full planning permission,16/01/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Change of use of the part ground floor and first floor of Unit 5, The Willows Centre from Class A2 (Financial and Professional Services) to Class C3 (Dwellinghouses) and the development of an additional storey to accommodate a total of six apartments, with associated cycle and refuse storage.""",,,6,6,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, expires 16/01/2020. Only to be removed once expired or completed. Deliverable within 1 year. 21/09/17.""",21/09/2017,21/09/2017,16/01459/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0056,,"""Garage Block, Market Avenue, Wickford, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7785&p=0,WGS84,0.519069,51.614242,0.08,not owned by a public authority,yes,permissioned,full planning permission,09/03/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Redevelopment of existing garage court to provide 5 no. houses.""",,,5,5,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, expires 09/03/2020. Only to be removed once expired or completed. Deliverable within 1 year. 21/09/17.""",21/09/2017,21/09/2017,16/01756/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0057,,"""Ryjo, Thames View, Langdon Hills, Basildon, Essex. SS16 5LN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7786&p=0,WGS84,0.425137,51.549311,6.7,not owned by a public authority,yes,permissioned,full planning permission,30/01/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,-1,"""Demolition of 3no. existing dwellings and associated outbuildings, and replacement with 2no. dwellings.""",,,-1,-1,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, expires 30/01/2020. Only to be removed once expired or completed. Deliverable within 1 year. 21/09/17.""",21/09/2017,21/09/2017,16/01772/FULL,
